NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,10,15.49298
1584,0,2,10,15.47282
1584,0,3,10,15.444
1584,0,4,10,15.34841
1584,0,5,10,15.42526
1584,0,6,10,15.48768
1584,0,7,10,15.36066
1584,0,8,10,15.43432
1584,0,9,10,15.4891
1584,0,10,10,15.37575
1584,0,11,10,15.4263
1584,0,12,12,16.34659
1584,0,13,10,15.38518
1584,0,14,10,15.4492
1584,0,15,12,16.34745
1584,0,16,10,15.40317
1584,0,17,10,15.47238
1584,0,18,12,16.32123
1584,0,19,10,15.4243
1584,0,20,18,15.41115
1584,0,21,12,16.38
1584,0,22,10,15.45437
1584,0,23,18,15.34569
1584,0,24,11,16.33248
1584,0,25,10,15.48971
1584,0,26,18,15.28729
1584,0,27,12,16.45423
1584,0,28,10,15.52693
1584,0,29,18,15.25602
1584,0,30,11,16.09837
1584,0,31,11,16.07107
1584,0,32,18,15.24298
1584,0,33,11,16.122
1584,0,34,11,16.07187
1584,0,35,18,15.23663
1584,0,36,10,15.59139
1584,0,37,11,16.07395
1584,0,38,18,15.21709
1584,0,39,10,15.55426
1584,0,40,10,15.54863
1584,0,41,18,15.22314
1584,0,42,10,15.50304
1584,0,43,10,15.51818
1584,0,44,18,15.25815
1584,0,45,10,15.44692
1584,0,46,10,15.4917
1584,0,47,18,15.29349
1584,0,48,10,15.42411
1584,0,49,10,15.43357
1584,0,50,18,15.33218
1584,0,51,10,15.38687
1584,0,52,10,15.4138
1584,0,53,18,15.39173
1584,0,54,10,15.36539
1584,0,55,10,15.38251
1584,0,56,18,15.46081
1584,0,57,10,15.35261
1584,0,58,10,15.36131
1584,0,59,11,16.30684
1584,0,60,10,15.33691
1584,1,1,10,15.49298
1584,1,2,10,15.34315
1584,1,3,10,15.48145
1584,1,4,10,15.41846
1584,1,5,10,15.3458
1584,1,6,10,15.44874
1584,1,7,10,15.37564
1584,1,8,10,15.36705
1584,1,9,10,15.49833
1584,1,10,10,15.31417
1584,1,11,12,16.20685
1584,1,12,10,15.30272
1584,1,13,10,15.40846
1584,1,14,10,15.33252
1584,1,15,10,15.36712
1584,1,16,10,15.34752
1584,1,17,10,15.36854
1584,1,18,10,15.3997
1584,1,19,10,15.45135
1584,1,20,10,15.39851
1584,1,21,18,15.45776
1584,1,22,11,16.45089
1584,1,23,10,15.4319
1584,1,24,18,15.41107
1584,1,25,11,16.40075
1584,1,26,10,15.46348
1584,1,27,11,16.22011
1584,1,28,10,15.44215
1584,1,29,18,15.34654
1584,1,30,10,15.45305
1584,1,31,18,15.33285
1584,1,32,10,15.47371
1584,1,33,18,15.32116
1584,1,34,10,15.49608
1584,1,35,18,15.25788
1584,1,36,11,15.99919
1584,1,37,18,15.21425
1584,1,38,11,15.99487
1584,1,39,18,15.20835
1584,1,40,11,15.99814
1584,1,41,11,16.03813
1584,1,42,18,15.23694
1584,1,43,10,15.54081
1584,1,44,11,16.00356
1584,1,45,18,15.20464
1584,1,46,11,15.99844
1584,1,47,18,15.18576
1584,1,48,10,15.47556
1584,1,49,18,15.21234
1584,1,50,10,15.45953
1584,1,51,10,15.44197
1584,1,52,18,15.29572
1584,1,53,10,15.40169
1584,1,54,18,15.30247
1584,1,55,10,15.37853
1584,1,56,18,15.26078
1584,1,57,10,15.35887
1584,1,58,18,15.27268
1584,1,59,10,15.34155
1584,1,60,18,15.25267
1584,2,1,10,15.49298
1584,2,2,10,15.34251
1584,2,3,10,15.31532
1584,2,4,10,15.34826
1584,2,5,10,15.309
1584,2,6,12,16.2088
1584,2,7,10,15.28593
1584,2,8,10,15.45931
1584,2,9,10,15.39148
1584,2,10,10,15.34137
1584,2,11,10,15.4792
1584,2,12,10,15.38769
1584,2,13,10,15.34705
1584,2,14,10,15.5047
1584,2,15,10,15.41666
1584,2,16,10,15.3734
1584,2,17,11,16.33667
1584,2,18,10,15.43299
1584,2,19,10,15.3988
1584,2,20,18,15.47958
1584,2,21,10,15.44769
1584,2,22,10,15.44008
1584,2,23,18,15.43013
1584,2,24,10,15.4877
1584,2,25,10,15.46901
1584,2,26,18,15.36455
1584,2,27,12,17.27218
1584,2,28,10,15.50643
1584,2,29,18,15.33414
1584,2,30,11,16.07183
1584,2,31,10,15.55218
1584,2,32,18,15.2809
1584,2,33,11,16.11975
1584,2,34,18,15.27531
1584,2,35,18,15.27414
1584,2,36,11,16.15143
1584,2,37,18,15.31238
1584,2,38,18,15.27601
1584,2,39,10,15.65146
1584,2,40,18,15.32403
1584,2,41,18,15.26291
1584,2,42,10,15.59559
1584,2,43,18,15.35638
1584,2,44,18,15.26705
1584,2,45,10,15.54747
1584,2,46,18,15.39873
1584,2,47,18,15.28444
1584,2,48,10,15.49436
1584,2,49,18,15.43976
1584,2,50,18,15.31548
1584,2,51,10,15.46356
1584,2,52,18,15.50215
1584,2,53,18,15.36425
1584,2,54,10,15.43913
1584,2,55,10,15.50178
1584,2,56,10,15.4978
1584,2,57,10,15.40996
1584,2,58,10,15.48847
1584,2,59,10,15.5013
1584,2,60,10,15.39671
1584,3,1,10,15.49298
1584,3,2,10,15.40539
1584,3,3,10,15.51682
1584,3,4,10,15.47666
1584,3,5,10,15.40127
1584,3,6,10,15.51616
1584,3,7,10,15.46404
1584,3,8,10,15.40839
1584,3,9,10,15.43262
1584,3,10,10,15.39622
1584,3,11,10,15.38175
1584,3,12,10,15.54132
1584,3,13,10,15.39778
1584,3,14,10,15.38041
1584,3,15,12,16.15938
1584,3,16,10,15.45186
1584,3,17,10,15.43778
1584,3,18,18,15.53658
1584,3,19,10,15.48794
1584,3,20,10,15.46067
1584,3,21,11,16.29236
1584,3,22,10,15.50893
1584,3,23,10,15.47309
1584,3,24,18,15.39944
1584,3,25,10,15.49759
1584,3,26,18,15.26626
1584,3,27,18,15.38223
1584,3,28,11,16.10784
1584,3,29,18,15.26752
1584,3,30,18,15.29626
1584,3,31,11,16.00361
1584,3,32,18,15.25802
1584,3,33,18,15.30963
1584,3,34,11,16.12124
1584,3,35,18,15.23386
1584,3,36,18,15.27754
1584,3,37,10,15.61429
1584,3,38,18,15.24739
1584,3,39,18,15.25015
1584,3,40,10,15.49292
1584,3,41,18,15.26433
1584,3,42,10,15.46799
1584,3,43,10,15.49607
1584,3,44,18,15.27745
1584,3,45,10,15.4895
1584,3,46,10,15.46074
1584,3,47,18,15.34806
1584,3,48,10,15.48639
1584,3,49,10,15.43791
1584,3,50,18,15.39928
1584,3,51,10,15.42947
1584,3,52,10,15.36719
1584,3,53,18,15.43723
1584,3,54,10,15.35934
1584,3,55,10,15.37393
1584,3,56,18,15.50826
1584,3,57,10,15.34601
1584,3,58,10,15.32889
1584,3,59,10,15.47247
1584,3,60,10,15.35823
1584,4,1,10,15.49298
1584,4,2,10,15.35394
1584,4,3,10,15.5061
1584,4,4,10,15.41944
1584,4,5,10,15.36139
1584,4,6,12,16.31533
1584,4,7,10,15.42281
1584,4,8,10,15.36178
1584,4,9,10,15.49403
1584,4,10,10,15.42611
1584,4,11,10,15.36155
1584,4,12,12,16.1953
1584,4,13,10,15.41417
1584,4,14,10,15.38374
1584,4,15,10,15.52909
1584,4,16,10,15.4405
1584,4,17,10,15.39369
1584,4,18,18,15.49698
1584,4,19,10,15.47859
1584,4,20,10,15.48046
1584,4,21,18,15.44407
1584,4,22,10,15.50454
1584,4,23,10,15.49867
1584,4,24,18,15.37194
1584,4,25,11,16.04478
1584,4,26,10,15.46978
1584,4,27,18,15.27525
1584,4,28,11,16.08758
1584,4,29,10,15.55487
1584,4,30,18,15.25873
1584,4,31,11,16.05419
1584,4,32,11,16.07409
1584,4,33,18,15.25756
1584,4,34,11,16.09182
1584,4,35,18,15.26214
1584,4,36,18,15.21063
1584,4,37,10,15.55513
1584,4,38,18,15.30338
1584,4,39,18,15.21648
1584,4,40,10,15.51969
1584,4,41,18,15.34215
1584,4,42,18,15.23566
1584,4,43,10,15.48303
1584,4,44,18,15.39352
1584,4,45,18,15.23884
1584,4,46,10,15.43224
1584,4,47,18,15.41149
1584,4,48,18,15.30349
1584,4,49,10,15.35154
1584,4,50,18,15.46539
1584,4,51,18,15.32874
1584,4,52,10,15.40969
1584,4,53,10,15.44363
1584,4,54,18,15.40762
1584,4,55,10,15.37807
1584,4,56,10,15.39352
1584,4,57,10,15.44256
1584,4,58,10,15.35813
1584,4,59,10,15.36712
1584,4,60,10,15.42507
1518,0,1,10,15.49298
1518,0,2,10,15.37853
1518,0,3,10,15.49554
1518,0,4,10,15.38937
1518,0,5,10,15.56417
1518,0,6,10,15.49714
1518,0,7,10,15.40145
1518,0,8,10,15.34747
1518,0,9,10,15.5052
1518,0,10,10,15.4215
1518,0,11,10,15.37731
1518,0,12,10,15.52439
1518,0,13,10,15.43106
1518,0,14,10,15.6411
1518,0,15,10,15.56176
1518,0,16,10,15.44944
1518,0,17,10,15.43925
1518,0,18,11,16.34165
1518,0,19,10,15.45721
1518,0,20,10,15.42306
1518,0,21,18,15.43846
1518,0,22,27,42.30569
1518,0,23,10,15.50663
1518,0,24,11,16.22416
1518,0,25,11,16.06228
1518,0,26,11,16.54218
1518,0,27,18,15.29722
1518,0,28,11,16.12286
1518,0,29,11,16.04947
1518,0,30,12,16.85659
1518,0,31,11,16.08587
1518,0,32,11,16.06982
1518,0,33,18,15.24045
1518,0,34,11,16.11108
1518,0,35,11,16.22495
