NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,1,0,1
1584,2,0,1
1584,3,0,1
1584,4,0,1
1584,5,0,1
1584,6,0,1
1584,7,0,1
1584,8,0,1
1584,9,0,1
1584,10,0,1
1584,11,0,1
1584,12,0,1
1584,13,0,1
1584,14,0,1
1584,15,0,1
1584,16,0,1
1584,17,0,1
1584,18,0,1
1584,19,0,1
1584,20,0,1
1584,21,0,1
1584,22,0,1
1584,23,0,1
1584,24,0,1
1584,25,0,1
1584,26,0,1
1584,27,0,1
1584,28,0,1
1584,29,0,1
1584,30,0,1
1584,31,0,1
1584,32,0,1
1584,33,0,1
1584,34,0,1
1584,35,0,1
1584,36,0,1
1584,37,0,1
1584,38,0,1
1584,39,0,1
1584,40,0,1
1584,41,0,1
1584,42,0,1
1584,43,0,1
1584,44,0,1
1584,45,0,1
1584,46,0,1
1584,47,0,1
1584,48,0,1
1584,49,0,1
1584,50,0,1
1584,51,0,1
1584,52,0,1
1584,53,0,1
1584,54,0,1
1584,55,0,1
1584,56,0,1
1584,57,0,1
1584,58,0,1
1584,59,0,1
1584,60,0,1
1584,61,0,1
1584,62,0,1
1584,63,0,1
1584,64,0,1
1584,65,0,1
1584,66,0,1
1584,67,0,1
1584,68,0,1
1584,69,0,1
1584,70,0,1
1584,71,0,1
1584,72,0,1
1584,73,0,1
1584,74,0,1
1584,75,0,1
1584,76,0,1
1584,77,0,1
1584,78,0,1
1584,79,0,1
1584,80,0,1
1584,81,0,1
1584,82,0,1
1584,83,0,1
1584,84,0,1
1584,85,0,1
1584,86,0,1
1584,87,0,1
1584,88,0,1
1584,89,0,1
1584,90,0,1
1584,91,0,1
1584,92,0,1
1584,93,0,1
1584,94,0,1
1584,95,0,1
1584,96,0,1
1584,97,0,1
1584,98,0,1
1584,99,0,1
1562,0,0,1
1562,1,0,1
1562,2,0,1
1562,3,0,1
1562,4,0,1
1562,5,0,1
1562,6,0,1
1562,7,0,1
1562,8,0,1
1562,9,0,1
1562,10,0,1
1562,11,0,1
1562,12,0,1
1562,13,0,1
1562,14,0,1
1562,15,0,1
1562,16,0,1
1562,17,0,1
1562,18,0,1
1562,19,0,1
1562,20,0,1
1562,21,0,1
1562,22,0,1
1562,23,0,1
1562,24,0,1
1562,25,0,1
1562,26,0,1
1562,27,0,1
1562,28,0,1
1562,29,0,1
1562,30,0,1
1562,31,0,1
1562,32,0,1
1562,33,0,1
1562,34,0,1
1562,35,0,1
1562,36,0,1
1562,37,0,1
1562,38,0,1
1562,39,0,1
1562,40,0,1
1562,41,0,1
1562,42,0,1
1562,43,0,1
1562,44,0,1
1562,45,0,1
1562,46,0,1
1562,47,0,1
1562,48,0,1
1562,49,0,1
1562,50,0,1
1562,51,0,1
1562,52,0,1
1562,53,0,1
1562,54,0,1
1562,55,0,1
1562,56,0,1
1562,57,0,1
1562,58,0,1
1562,59,0,1
1562,60,0,1
1562,61,0,1
1562,62,0,1
1562,63,0,1
1562,64,0,1
1562,65,0,1
1562,66,0,1
1562,67,0,1
1562,68,0,1
1562,69,0,1
1562,70,0,1
1562,71,0,1
1562,72,0,1
1562,73,0,1
1562,74,0,1
1562,75,0,1
1562,76,0,1
1562,77,0,1
1562,78,0,1
1562,79,0,1
1562,80,0,1
1562,81,0,1
1562,82,0,1
1562,83,0,1
1562,84,0,1
1562,85,0,1
1562,86,0,1
1562,87,0,1
1562,88,0,1
1562,89,0,1
1562,90,0,1
1562,91,0,1
1562,92,0,1
1562,93,0,1
1562,94,0,1
1562,95,0,1
1562,96,0,1
1562,97,0,1
1562,98,0,1
1562,99,0,1
1540,0,0,1
1540,1,0,1
1540,2,0,1
1540,3,0,1
1540,4,0,1
1540,5,0,1
1540,6,0,1
1540,7,0,1
1540,8,0,1
1540,9,0,1
1540,10,0,1
1540,11,0,1
1540,12,0,1
1540,13,0,1
1540,14,0,1
1540,15,0,1
1540,16,0,1
1540,17,0,1
1540,18,0,1
1540,19,0,1
1540,20,0,1
1540,21,0,1
1540,22,0,1
1540,23,0,1
1540,24,0,1
1540,25,0,1
1540,26,0,1
1540,27,0,1
1540,28,0,1
1540,29,0,1
1540,30,0,1
1540,31,0,1
1540,32,0,1
1540,33,0,1
1540,34,0,1
1540,35,0,1
1540,36,0,1
1540,37,0,1
1540,38,0,1
1540,39,0,1
1540,40,0,1
1540,41,0,1
1540,42,0,1
1540,43,0,1
1540,44,0,1
1540,45,0,1
1540,46,0,1
1540,47,0,1
1540,48,0,1
1540,49,0,1
1540,50,0,1
1540,51,0,1
1540,52,0,1
1540,53,0,1
1540,54,0,1
1540,55,0,1
1540,56,0,1
1540,57,0,1
1540,58,0,1
1540,59,0,1
1540,60,0,1
1540,61,0,1
1540,62,0,1
1540,63,0,1
1540,64,0,1
1540,65,0,1
1540,66,0,1
1540,67,0,1
1540,68,0,1
1540,69,0,1
1540,70,0,1
1540,71,0,1
1540,72,0,1
1540,73,0,1
1540,74,0,1
1540,75,0,1
1540,76,0,1
1540,77,0,1
1540,78,0,1
1540,79,0,1
1540,80,0,1
1540,81,0,1
1540,82,0,1
1540,83,0,1
1540,84,0,1
1540,85,0,1
1540,86,0,1
1540,87,0,1
1540,88,0,1
1540,89,0,1
1540,90,0,1
1540,91,0,1
1540,92,0,1
1540,93,0,1
1540,94,0,1
1540,95,0,1
1540,96,0,1
1540,97,0,1
1540,98,0,1
1540,99,0,1
1518,0,0,1
1518,1,0,1
1518,2,0,1
1518,3,0,1
1518,4,0,1
1518,5,0,1
1518,6,0,1
1518,7,0,1
1518,8,0,1
1518,9,0,1
1518,10,0,1
1518,11,0,1
1518,12,0,1
1518,13,0,1
1518,14,0,1
1518,15,0,1
