NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,8,5.204093
1584,0,2,8,5.207246
1584,0,3,8,5.21025
1584,0,4,8,5.213875
1584,0,5,8,5.217266
1584,0,6,8,5.220995
1584,0,7,9,5.715851
1584,0,8,9,5.713708
1584,0,9,9,5.711586
1584,0,10,9,5.709674
1584,0,11,9,5.70802
1584,0,12,9,5.706536
1584,0,13,9,5.70519
1584,0,14,9,5.703964
1584,0,15,9,5.702985
1584,0,16,9,5.702189
1584,0,17,9,5.701573
1584,0,18,9,5.701139
1584,0,19,9,5.700877
1584,0,20,9,5.700793
1584,0,21,9,5.700884
1584,0,22,9,5.701149
1584,0,23,9,5.701509
1584,0,24,9,5.702072
1584,0,25,9,5.702755
