NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,28,35.45561
1584,0,2,27,32.55626
1584,0,3,31,35.46625
1584,0,4,1,3.402823E+38
1584,0,5,28,35.22004
1584,0,6,31,35.5481
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,26,31.67978
1584,0,12,1,3.402823E+38
1584,0,13,1,3.402823E+38
1584,0,14,26,31.71515
1584,0,15,28,31.73127
1584,0,16,26,32.09614
1584,0,17,26,31.77454
1584,0,18,29,32.13053
1584,0,19,26,32.13615
1584,0,20,26,31.65236
1584,0,21,26,31.98802
1584,0,22,18,24.3156
1584,0,23,26,31.91225
1584,0,24,26,32.17594
1584,0,25,26,31.75039
1584,0,26,26,32.16596
1584,0,27,26,31.76914
1584,0,28,26,32.15794
1584,0,29,26,31.86856
1584,0,30,26,32.15191
1584,0,31,26,31.89037
1584,0,32,26,32.14759
1584,0,33,26,31.91444
1584,0,34,26,32.14552
1584,0,35,26,31.94089
1584,0,36,26,32.14579
1584,0,37,18,24.49343
1584,0,38,26,32.11979
1584,0,39,18,24.49893
1584,0,40,26,32.15362
1584,0,41,18,24.50587
1584,0,42,26,32.16129
1584,0,43,18,24.56364
1584,0,44,26,32.18219
1584,0,45,18,24.57228
1584,0,46,27,32.18768
1584,0,47,17,24.59138
1584,0,48,27,32.21401
1584,0,49,26,32.19976
1584,0,50,27,32.25488
1584,0,51,26,32.22767
1584,0,52,27,32.26214
1584,0,53,27,32.27549
1584,0,54,27,32.24134
1584,0,55,17,24.70022
1584,0,56,27,32.25462
1584,0,57,18,24.75099
1584,0,58,27,32.27049
1584,0,59,26,32.51987
1584,0,60,27,32.31648
1584,1,1,28,35.45561
1584,1,2,29,35.18824
1584,1,3,28,35.16366
1584,1,4,36,36.75819
1584,1,5,29,35.22781
1584,1,6,28,35.14204
1584,1,7,1,3.402823E+38
1584,1,8,30,35.29079
1584,1,9,28,35.17702
1584,1,10,1,3.402823E+38
1584,1,11,31,35.48598
1584,1,12,29,35.36147
1584,1,13,1,3.402823E+38
1584,1,14,1,3.402823E+38
1584,1,15,1,3.402823E+38
1584,1,16,1,3.402823E+38
1584,1,17,1,3.402823E+38
1584,1,18,1,3.402823E+38
1584,1,19,1,3.402823E+38
1584,1,20,1,3.402823E+38
1584,1,21,26,31.65847
1584,1,22,1,3.402823E+38
1584,1,23,26,31.48778
1584,1,24,26,31.85268
1584,1,25,28,31.64565
1584,1,26,26,31.75289
1584,1,27,1,3.402823E+38
1584,1,28,26,31.67448
1584,1,29,26,32.14714
1584,1,30,26,31.61457
1584,1,31,26,32.13816
1584,1,32,26,31.5719
1584,1,33,26,31.96905
1584,1,34,28,31.72578
1584,1,35,26,31.8839
1584,1,36,26,32.23462
1584,1,37,26,31.72086
1584,1,38,26,32.05215
1584,1,39,18,24.36074
1584,1,40,26,31.81598
1584,1,41,26,32.11103
1584,1,42,18,24.36206
1584,1,43,26,31.9941
1584,1,44,26,32.1993
1584,1,45,26,31.7778
1584,1,46,26,32.05888
1584,1,47,26,32.23267
1584,1,48,26,31.87568
1584,1,49,26,32.10574
1584,1,50,18,24.42512
1584,1,51,26,32.02797
1584,1,52,26,32.18056
1584,1,53,26,31.92686
1584,1,54,26,32.13951
1584,1,55,19,24.74381
1584,1,56,26,32.05726
1584,1,57,26,32.17268
1584,1,58,19,24.74679
1584,1,59,26,32.0755
1584,1,60,26,32.19897
1584,2,1,28,35.45561
1584,2,2,29,35.18824
1584,2,3,27,32.6396
1584,2,4,1,3.402823E+38
1584,2,5,29,35.22781
1584,2,6,28,35.14204
1584,2,7,1,3.402823E+38
1584,2,8,29,35.29174
1584,2,9,1,3.402823E+38
1584,2,10,1,3.402823E+38
1584,2,11,29,35.35701
1584,2,12,1,3.402823E+38
1584,2,13,1,3.402823E+38
1584,2,14,1,3.402823E+38
1584,2,15,1,3.402823E+38
1584,2,16,1,3.402823E+38
1584,2,17,1,3.402823E+38
1584,2,18,1,3.402823E+38
1584,2,19,26,31.57089
1584,2,20,1,3.402823E+38
1584,2,21,1,3.402823E+38
1584,2,22,26,31.64864
1584,2,23,26,31.95054
1584,2,24,28,31.64282
1584,2,25,26,31.58422
1584,2,26,26,32.0516
1584,2,27,28,31.65328
1584,2,28,26,31.66181
1584,2,29,26,32.04818
1584,2,30,28,31.69055
1584,2,31,26,31.84779
1584,2,32,26,32.19461
1584,2,33,26,31.61652
1584,2,34,26,32.0456
1584,2,35,26,32.23934
1584,2,36,27,31.66619
1584,2,37,26,31.86622
1584,2,38,26,32.11203
1584,2,39,28,31.77322
1584,2,40,26,31.77799
1584,2,41,26,32.03582
1584,2,42,26,32.26648
1584,2,43,26,31.79384
1584,2,44,26,32.09909
1584,2,45,27,31.78682
1584,2,46,26,32.0395
1584,2,47,19,24.69115
1584,2,48,26,31.83214
1584,2,49,26,32.09467
1584,2,50,19,24.69114
1584,2,51,26,31.93305
1584,2,52,26,32.17244
1584,2,53,18,24.44995
1584,2,54,26,32.04918
1584,2,55,26,32.15824
1584,2,56,19,24.72496
1584,2,57,26,32.01851
1584,2,58,26,32.12329
1584,2,59,19,24.72803
1584,2,60,26,32.04011
1584,3,1,28,35.45561
1584,3,2,31,35.35432
1584,3,3,27,32.53714
1584,3,4,28,35.2191
1584,3,5,31,35.39574
1584,3,6,28,35.07164
1584,3,7,28,35.19372
1584,3,8,1,3.402823E+38
1584,3,9,30,35.29079
1584,3,10,28,35.17702
1584,3,11,1,3.402823E+38
1584,3,12,31,35.48598
1584,3,13,28,35.17486
1584,3,14,1,3.402823E+38
1584,3,15,1,3.402823E+38
1584,3,16,1,3.402823E+38
1584,3,17,1,3.402823E+38
1584,3,18,1,3.402823E+38
1584,3,19,1,3.402823E+38
1584,3,20,1,3.402823E+38
1584,3,21,1,3.402823E+38
1584,3,22,1,3.402823E+38
1584,3,23,1,3.402823E+38
1584,3,24,26,31.58837
1584,3,25,26,31.97217
1584,3,26,28,31.64565
1584,3,27,26,31.66771
1584,3,28,26,32.06976
1584,3,29,26,31.54649
1584,3,30,26,31.96727
1584,3,31,28,31.69625
1584,3,32,26,31.76629
1584,3,33,26,32.20602
1584,3,34,26,31.69367
1584,3,35,26,32.05726
1584,3,36,27,31.67733
1584,3,37,26,31.78712
1584,3,38,26,32.23462
1584,3,39,26,31.8005
1584,3,40,26,32.16711
1584,3,41,26,31.73762
1584,3,42,26,32.11103
1584,3,43,18,24.36206
1584,3,44,26,31.91998
1584,3,45,26,32.1993
1584,3,46,26,31.7778
1584,3,47,26,32.14409
1584,3,48,26,31.87568
1584,3,49,26,32.14062
1584,3,50,18,24.42512
1584,3,51,26,32.02797
1584,3,52,26,32.21244
1584,3,53,26,31.98814
1584,3,54,26,32.13951
1584,3,55,19,24.74381
1584,3,56,26,32.11581
1584,3,57,26,32.24463
1584,3,58,26,32.10552
1584,3,59,26,32.2407
1584,3,60,17,24.49278
1584,4,1,28,35.45561
1584,4,2,27,32.51723
1584,4,3,1,3.402823E+38
1584,4,4,29,35.25087
1584,4,5,28,35.19204
1584,4,6,31,35.43347
1584,4,7,28,35.1357
1584,4,8,1,3.402823E+38
1584,4,9,28,35.17376
1584,4,10,1,3.402823E+38
1584,4,11,1,3.402823E+38
1584,4,12,1,3.402823E+38
1584,4,13,1,3.402823E+38
1584,4,14,1,3.402823E+38
1584,4,15,1,3.402823E+38
1584,4,16,1,3.402823E+38
1584,4,17,1,3.402823E+38
1584,4,18,26,31.65985
1584,4,19,1,3.402823E+38
1584,4,20,26,31.5934
1584,4,21,26,32.06608
1584,4,22,26,31.54481
1584,4,23,26,32.0624
1584,4,24,26,31.61239
1584,4,25,26,32.05993
1584,4,26,26,31.62482
1584,4,27,26,32.05489
1584,4,28,27,31.67506
1584,4,29,26,31.88031
1584,4,30,19,24.66479
1584,4,31,26,31.97476
1584,4,32,19,24.66133
1584,4,33,26,31.98212
1584,4,34,26,32.25957
1584,4,35,26,31.91763
1584,4,36,26,32.2444
1584,4,37,26,31.93132
1584,4,38,26,32.18959
1584,4,39,26,31.799
1584,4,40,26,32.10434
1584,4,41,18,24.4234
1584,4,42,26,32.07227
1584,4,43,26,32.25732
1584,4,44,26,32.08297
1584,4,45,26,32.24893
1584,4,46,26,32.09267
1584,4,47,19,24.74575
1584,4,48,26,32.10486
1584,4,49,26,32.23899
1584,4,50,26,32.11942
1584,4,51,26,32.23747
1584,4,52,26,32.11814
1584,4,53,26,32.23807
1584,4,54,26,32.14356
1584,4,55,27,32.23913
1584,4,56,26,32.17134
1584,4,57,27,32.24115
1584,4,58,26,32.19928
1584,4,59,26,32.29896
1584,4,60,26,32.22318
1518,0,1,28,35.45561
1518,0,2,27,32.53664
1518,0,3,37,37.64777
1518,0,4,28,35.09986
1518,0,5,37,37.33599
1518,0,6,28,35.19012
1518,0,7,1,3.402823E+38
1518,0,8,1,3.402823E+38
1518,0,9,1,3.402823E+38
1518,0,10,1,3.402823E+38
1518,0,11,1,3.402823E+38
1518,0,12,1,3.402823E+38
1518,0,13,1,3.402823E+38
1518,0,14,1,3.402823E+38
1518,0,15,1,3.402823E+38
1518,0,16,1,3.402823E+38
1518,0,17,26,35.2584
1518,0,18,1,3.402823E+38
1518,0,19,26,31.67315
1518,0,20,26,32.14567
1518,0,21,26,31.67784
1518,0,22,35,36.41245
1518,0,23,26,32.17363
1518,0,24,28,32.52625
1518,0,25,26,32.87186
1518,0,26,28,33.06132
1518,0,27,26,33.38346
1518,0,28,18,24.7372
1518,0,29,27,32.06417
1518,0,30,18,24.35824
1518,0,31,26,32.37683
1518,0,32,19,24.69947
1518,0,33,28,34.50577
1518,0,34,29,35.09501
1518,0,35,26,35.06454
1518,0,36,19,24.70063
1518,0,37,26,32.06969
1518,0,38,19,24.98501
1518,0,39,27,32.13837
1518,0,40,18,24.48003
1518,0,41,26,32.13983
1518,0,42,26,32.03149
1518,0,43,26,32.1958
1518,0,44,28,34.4849
1518,0,45,28,34.71549
1518,0,46,26,33.94471
1518,0,47,26,33.99582
1518,0,48,26,32.16187
1518,0,49,26,32.35475
1518,0,50,26,32.18
1518,0,51,26,32.28889
1518,0,52,27,32.48588
1518,0,53,27,32.51132
1518,0,54,26,32.22458
1518,0,55,27,32.30186
1518,0,56,26,34.04079
1518,0,57,32,33.27071
1518,0,58,18,24.74699
1518,0,59,27,34.02345
1518,0,60,27,32.4121
1518,1,1,28,35.45873
1518,1,2,30,35.67314
1518,1,3,28,35.16366
1518,1,4,29,35.23244
1518,1,5,28,35.25695
1518,1,6,29,35.5544
1518,1,7,1,3.402823E+38
1518,1,8,29,35.36393
1518,1,9,1,3.402823E+38
1518,1,10,1,3.402823E+38
1518,1,11,1,3.402823E+38
1518,1,12,1,3.402823E+38
1518,1,13,1,3.402823E+38
1518,1,14,1,3.402823E+38
1518,1,15,1,3.402823E+38
1518,1,16,25,31.80299
1518,1,17,28,31.80103
1518,1,18,25,31.90157
1518,1,19,28,32.15885
1518,1,20,26,32.45671
1518,1,21,28,31.69437
1518,1,22,26,31.96217
1518,1,23,26,31.5692
1518,1,24,26,32.05344
1518,1,25,26,31.63787
1518,1,26,26,32.12083
1518,1,27,26,32.39511
1518,1,28,26,32.98968
1518,1,29,28,34.4342
1518,1,30,26,35.41898
1518,1,31,28,34.47155
1518,1,32,29,34.19831
1518,1,33,26,33.89391
1518,1,34,18,24.44824
1518,1,35,26,32.10347
1518,1,36,17,24.40784
1518,1,37,32,33.4966
1518,1,38,26,31.91217
1518,1,39,26,32.1714
1518,1,40,26,32.00012
1518,1,41,26,32.19445
1518,1,42,26,34.39171
1518,1,43,26,34.60608
1518,1,44,26,33.93675
1518,1,45,26,34.16979
1518,1,46,27,32.44482
1518,1,47,19,24.78757
1518,1,48,26,32.16083
1518,1,49,19,25.00335
1518,1,50,26,34.22355
1518,1,51,18,24.62627
1518,1,52,27,32.21204
1518,1,53,17,24.65209
1518,1,54,27,32.49691
1518,1,55,18,24.75818
1518,1,56,27,32.25692
1518,1,57,26,32.28209
1518,1,58,26,32.37722
1518,1,59,27,32.29797
1518,1,60,26,32.47084
1518,2,1,28,35.45873
1518,2,2,27,34.29221
1518,2,3,1,3.402823E+38
1518,2,4,29,35.25085
1518,2,5,28,35.24385
1518,2,6,30,35.29387
1518,2,7,28,35.22327
1518,2,8,1,3.402823E+38
1518,2,9,1,3.402823E+38
1518,2,10,1,3.402823E+38
1518,2,11,1,3.402823E+38
1518,2,12,1,3.402823E+38
1518,2,13,1,3.402823E+38
1518,2,14,1,3.402823E+38
1518,2,15,1,3.402823E+38
1518,2,16,26,31.48673
1518,2,17,1,3.402823E+38
1518,2,18,26,31.59339
1518,2,19,26,32.07027
1518,2,20,26,31.66973
1518,2,21,26,32.14187
1518,2,22,26,33.24442
1518,2,23,26,33.81376
1518,2,24,26,31.68902
1518,2,25,26,32.18827
1518,2,26,27,31.90936
1518,2,27,25,32.39717
1518,2,28,26,34.0276
1518,2,29,26,34.71061
1518,2,30,26,33.42183
1518,2,31,25,33.74474
1518,2,32,26,31.91566
1518,2,33,26,32.24313
1518,2,34,26,32.29752
1518,2,35,19,24.69958
1518,2,36,26,32.68225
1518,2,37,18,24.42196
1518,2,38,26,32.10514
1518,2,39,18,24.5605
1518,2,40,26,32.39199
1518,2,41,19,24.74182
1518,2,42,26,32.1144
1518,2,43,18,24.49531
1518,2,44,26,34.45882
1518,2,45,19,24.81472
1518,2,46,28,34.58069
1518,2,47,16,24.41966
1518,2,48,26,32.19989
1518,2,49,16,24.42545
1518,2,50,27,33.76416
1518,2,51,19,24.82932
1518,2,52,26,34.01873
1518,2,53,19,24.84139
1518,2,54,27,34.22947
1518,2,55,18,25.08941
1518,2,56,26,32.23666
1518,2,57,19,24.89286
1518,2,58,27,33.11924
1518,2,59,26,32.28063
1518,2,60,27,32.3255
1518,3,1,28,35.46145
1518,3,2,27,33.06132
1518,3,3,37,37.09466
1518,3,4,28,35.10279
1518,3,5,1,3.402823E+38
1518,3,6,28,35.17202
1518,3,7,31,35.55275
1518,3,8,1,3.402823E+38
1518,3,9,1,3.402823E+38
1518,3,10,1,3.402823E+38
1518,3,11,1,3.402823E+38
1518,3,12,1,3.402823E+38
1518,3,13,26,32.84585
1518,3,14,1,3.402823E+38
1518,3,15,26,35.22599
1518,3,16,1,3.402823E+38
1518,3,17,26,31.73298
1518,3,18,28,31.65267
1518,3,19,26,31.73904
1518,3,20,40,41.11191
1518,3,21,26,33.71969
1518,3,22,26,34.00145
1518,3,23,26,31.80329
1518,3,24,26,32.23667
1518,3,25,26,31.86188
1518,3,26,19,24.65725
1518,3,27,26,31.87397
1518,3,28,26,32.47271
1518,3,29,26,33.85561
1518,3,30,26,33.9965
1518,3,31,26,32.80583
1518,3,32,25,33.10683
1518,3,33,26,31.98907
1518,3,34,19,24.69312
1518,3,35,28,34.46474
1518,3,36,27,34.5007
1518,3,37,26,32.1316
1518,3,38,19,24.95562
1518,3,39,27,32.13656
1518,3,40,18,24.55711
1518,3,41,26,32.44857
1518,3,42,17,24.47225
1518,3,43,26,32.16855
1518,3,44,18,24.61046
1518,3,45,26,32.1501
1518,3,46,19,24.77994
1518,3,47,26,32.14443
1518,3,48,19,24.78669
1518,3,49,26,33.94199
1518,3,50,26,34.04775
1518,3,51,26,32.19088
1518,3,52,19,24.83298
1518,3,53,27,32.20712
1518,3,54,26,32.35331
1518,3,55,27,34.19621
1518,3,56,27,34.25751
1518,3,57,27,32.23695
1518,3,58,26,32.45286
1518,3,59,27,34.18764
1518,3,60,26,34.84276
1518,4,1,37,38.16728
1518,4,2,37,38.53973
1518,4,3,37,38.92709
1518,4,4,28,35.14278
1518,4,5,1,3.402823E+38
1518,4,6,28,35.16788
1518,4,7,1,3.402823E+38
1518,4,8,28,35.21201
1518,4,9,1,3.402823E+38
1518,4,10,1,3.402823E+38
1518,4,11,1,3.402823E+38
1518,4,12,1,3.402823E+38
1518,4,13,1,3.402823E+38
1518,4,14,1,3.402823E+38
1518,4,15,26,31.51352
1518,4,16,1,3.402823E+38
1518,4,17,26,31.57487
1518,4,18,1,3.402823E+38
1518,4,19,26,35.33965
1518,4,20,26,35.45786
1518,4,21,26,31.73814
1518,4,22,26,32.24604
1518,4,23,26,33.78301
1518,4,24,26,34.01141
1518,4,25,26,31.75901
1518,4,26,26,32.16166
1518,4,27,26,31.69861
1518,4,28,26,32.1517
1518,4,29,28,34.42054
1518,4,30,27,34.38245
1518,4,31,26,31.8798
1518,4,32,26,32.17432
1518,4,33,26,33.76918
1518,4,34,32,33.64581
1518,4,35,17,24.37902
1518,4,36,26,33.1624
1518,4,37,18,24.45164
1518,4,38,26,32.38423
1518,4,39,18,24.45553
1518,4,40,26,34.10653
1518,4,41,18,24.46066
1518,4,42,26,32.39791
1518,4,43,19,24.76314
1518,4,44,26,33.16281
1518,4,45,18,24.51983
1518,4,46,26,32.16779
1518,4,47,17,24.52686
1518,4,48,26,32.18745
1518,4,49,26,32.13111
1518,4,50,27,32.2188
1518,4,51,16,24.46233
1518,4,52,27,32.19774
1518,4,53,17,24.61933
1518,4,54,27,32.8876
1518,4,55,19,25.1653
1518,4,56,27,33.94993
1518,4,57,18,24.68192
1518,4,58,27,33.9665
1518,4,59,27,34.04888
1518,4,60,27,34.05724
1452,0,1,28,35.46384
1452,0,2,28,35.06439
1452,0,3,36,38.62827
1452,0,4,28,35.16934
1452,0,5,31,35.50277
1452,0,6,28,35.32558
1452,0,7,29,35.33416
1452,0,8,1,3.402823E+38
1452,0,9,1,3.402823E+38
1452,0,10,1,3.402823E+38
1452,0,11,1,3.402823E+38
1452,0,12,1,3.402823E+38
1452,0,13,1,3.402823E+38
1452,0,14,1,3.402823E+38
1452,0,15,26,31.5507
1452,0,16,1,3.402823E+38
1452,0,17,26,32.16148
1452,0,18,39,41.10101
1452,0,19,26,33.75797
1452,0,20,30,34.52029
1452,0,21,28,38.05681
1452,0,22,28,34.34916
1452,0,23,25,35.04822
1452,0,24,26,31.86797
1452,0,25,28,31.79475
1452,0,26,26,32.07788
1452,0,27,26,35.27684
1452,0,28,26,35.38182
1452,0,29,26,32.25675
1452,0,30,26,32.53927
1452,0,31,27,33.09668
1452,0,32,26,33.13874
1452,0,33,26,33.50344
1452,0,34,26,34.18871
