NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,11,7.092288
1584,0,2,10,6.654559
1584,0,3,11,7.102045
1584,0,4,11,7.226373
1584,0,5,8,6.855238
1584,0,6,11,7.165732
1584,0,7,10,6.685899
1584,0,8,11,7.13765
1584,0,9,10,6.686409
1584,0,10,11,7.137748
1584,0,11,12,7.217112
1584,0,12,9,6.810013
1584,0,13,12,7.180188
1584,0,14,9,6.772597
1584,0,15,12,7.132856
1584,0,16,11,6.671083
1584,0,17,12,7.113051
1584,0,18,12,7.222926
1584,0,19,12,7.106212
1584,0,20,12,7.147619
1584,0,21,9,6.725923
1584,0,22,12,7.120713
1584,0,23,10,6.66812
1584,0,24,12,7.096349
1584,0,25,11,6.633132
1584,0,26,12,7.075656
1584,0,27,11,6.620017
1584,0,28,12,7.058159
1584,0,29,11,6.612593
1584,0,30,12,7.043789
1584,0,31,11,6.610404
1584,0,32,12,7.038002
1584,0,33,11,6.613408
1584,0,34,12,7.030916
1584,0,35,11,6.609109
1584,0,36,12,7.030365
1584,0,37,11,6.617674
1584,0,38,8,6.898472
1584,0,39,12,7.09139
1584,0,40,10,6.611345
1584,0,41,12,7.062352
1584,0,42,9,6.641619
1584,0,43,12,7.039369
1584,0,44,10,6.601393
1584,0,45,12,7.014761
1584,0,46,10,6.61067
1584,0,47,12,7.028897
1584,0,48,12,7.066182
1584,0,49,9,6.646633
1584,0,50,12,7.0475
1584,0,51,10,6.606362
1584,0,52,12,7.026549
1584,0,53,10,6.608662
1584,0,54,12,7.044114
1584,0,55,11,7.08523
1584,0,56,10,6.62023
1584,0,57,12,7.053493
1584,0,58,10,6.613181
1584,0,59,11,7.054563
1584,0,60,11,7.129324
1584,1,1,8,6.866196
1584,1,2,11,7.137466
1584,1,3,10,6.680287
1584,1,4,11,7.112152
1584,1,5,10,6.665362
1584,1,6,11,7.117275
1584,1,7,11,7.285234
1584,1,8,11,7.128446
1584,1,9,11,7.257565
1584,1,10,9,6.822981
1584,1,11,12,7.190086
1584,1,12,9,6.784913
1584,1,13,12,7.159053
1584,1,14,11,6.697309
1584,1,15,12,7.155171
1584,1,16,9,6.772748
1584,1,17,12,7.153605
1584,1,18,9,6.739266
1584,1,19,12,7.152737
1584,1,20,9,6.734134
1584,1,21,12,7.124873
1584,1,22,9,6.730093
1584,1,23,12,7.124468
1584,1,24,9,6.70194
1584,1,25,12,7.099912
1584,1,26,11,6.635157
1584,1,27,12,7.099051
1584,1,28,10,6.653298
1584,1,29,12,7.074879
1584,1,30,10,6.649384
1584,1,31,12,7.074366
1584,1,32,11,6.616345
1584,1,33,12,7.039497
1584,1,34,11,6.605672
1584,1,35,12,7.037531
1584,1,36,11,6.619084
1584,1,37,9,6.653461
1584,1,38,12,7.056791
1584,1,39,11,6.601364
1584,1,40,12,7.018138
1584,1,41,10,6.607521
1584,1,42,8,6.873802
1584,1,43,12,7.079212
1584,1,44,10,6.607901
1584,1,45,12,7.029495
1584,1,46,10,6.601369
1584,1,47,12,7.016202
1584,1,48,10,6.605988
1584,1,49,8,6.8521
1584,1,50,12,7.088311
1584,1,51,8,6.826685
1584,1,52,12,7.066401
1584,1,53,10,6.609478
1584,1,54,12,7.036308
1584,1,55,10,6.607219
1584,1,56,12,7.043852
1584,1,57,11,7.109178
1584,1,58,8,6.824762
1584,1,59,11,7.070076
1584,1,60,10,6.623745
1584,2,1,8,6.833965
1584,2,2,11,7.111782
1584,2,3,10,6.664005
1584,2,4,11,7.107619
1584,2,5,11,7.209957
1584,2,6,9,6.871966
1584,2,7,11,7.160918
1584,2,8,10,6.702588
1584,2,9,11,7.155324
1584,2,10,11,7.333179
1584,2,11,11,7.146301
1584,2,12,12,7.224559
1584,2,13,9,6.779702
1584,2,14,12,7.156893
1584,2,15,10,6.70335
1584,2,16,12,7.13242
1584,2,17,11,6.65619
1584,2,18,12,7.113497
1584,2,19,11,6.649992
1584,2,20,12,7.093885
1584,2,21,11,6.636826
1584,2,22,12,7.082479
1584,2,23,11,6.630852
1584,2,24,12,7.075094
1584,2,25,11,6.622287
1584,2,26,12,7.068054
1584,2,27,11,6.617026
1584,2,28,12,7.052137
1584,2,29,11,6.614169
1584,2,30,12,7.044846
1584,2,31,11,6.609458
1584,2,32,12,7.037038
1584,2,33,11,6.611162
1584,2,34,12,7.036682
1584,2,35,11,6.60719
1584,2,36,12,7.028027
1584,2,37,12,7.092282
1584,2,38,9,6.655245
1584,2,39,12,7.038352
1584,2,40,11,6.602442
1584,2,41,12,7.023536
1584,2,42,10,6.605019
1584,2,43,8,6.877819
1584,2,44,12,7.05975
1584,2,45,9,6.642115
1584,2,46,12,7.02214
1584,2,47,10,6.600982
1584,2,48,12,7.019357
1584,2,49,10,6.60591
1584,2,50,12,7.035349
1584,2,51,10,6.617239
1584,2,52,8,6.835362
1584,2,53,11,7.086067
1584,2,54,10,6.615649
1584,2,55,12,7.049041
1584,2,56,10,6.610133
1584,2,57,12,7.047628
1584,2,58,10,6.621401
1584,2,59,8,6.837287
1584,2,60,11,7.084727
1584,3,1,8,6.863748
1584,3,2,11,7.168427
1584,3,3,8,6.847158
1584,3,4,11,7.232409
1584,3,5,11,7.114522
1584,3,6,10,6.664834
1584,3,7,11,7.141579
1584,3,8,8,6.84128
1584,3,9,11,7.190248
1584,3,10,9,6.827196
1584,3,11,11,7.177239
1584,3,12,9,6.730517
1584,3,13,12,7.163636
1584,3,14,11,6.702205
1584,3,15,12,7.141171
1584,3,16,11,6.679865
1584,3,17,12,7.126602
1584,3,18,11,6.672643
1584,3,19,12,7.118723
1584,3,20,11,6.654943
1584,3,21,12,7.102589
1584,3,22,12,7.233126
1584,3,23,12,7.09289
1584,3,24,11,6.63627
1584,3,25,12,7.082817
1584,3,26,12,7.157061
1584,3,27,8,6.985177
1584,3,28,12,7.098586
1584,3,29,11,6.621015
1584,3,30,12,7.059992
1584,3,31,11,6.614598
1584,3,32,8,6.943015
1584,3,33,12,7.105709
1584,3,34,9,6.670053
1584,3,35,12,7.079397
1584,3,36,11,6.605593
1584,3,37,12,7.024845
1584,3,38,11,6.604732
1584,3,39,12,7.021951
1584,3,40,12,7.099222
1584,3,41,8,6.870108
1584,3,42,12,7.039426
1584,3,43,11,6.603794
1584,3,44,12,7.014716
1584,3,45,10,6.603614
1584,3,46,12,7.016045
1584,3,47,10,6.6187
