time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.407223,-0.1828913,-0.6474105,-7.466875E-09,-0.03042945,-0.6577408,1.431477,-0.1898567,-0.6709507,-1.427363,-0.1504242,0.009019696,1.429901,-0.1562603,-0.01466658,-1.434307,-0.1806258,0.6667314,-9.001612E-09,-0.03780557,0.6566059,1.416696,-0.1775789,0.6425155
2,-1.389014,-0.1649676,-0.6566473,1.621577E-08,-0.03178344,-0.6563795,1.426717,-0.1762006,-0.6812237,-1.415097,-0.1461341,0.0004369461,1.433804,-0.1437666,-0.02361693,-1.429644,-0.1822533,0.6564427,-1.667268E-08,-0.02435911,0.6573173,1.426599,-0.178765,0.633136
3,-1.360245,-0.1727484,-0.6655223,4.084656E-08,-0.02669777,-0.6579028,1.412258,-0.1865923,-0.6905201,-1.39812,-0.1408441,-0.009659193,1.428787,-0.1536875,-0.03438949,-1.422099,-0.1765013,0.6473786,1.009047E-08,-0.03660076,0.6564913,1.433719,-0.1757174,0.6230964
4,-1.328619,-0.1582963,-0.6734316,-7.898366E-08,-0.0334613,-0.6563553,1.395481,-0.1699207,-0.7008643,-1.372615,-0.139522,-0.01759044,1.419601,-0.1444854,-0.04335167,-1.40542,-0.1757516,0.6377397,-1.522568E-08,-0.02270894,0.6577125,1.430944,-0.1797364,0.613074
5,-1.289101,-0.1575605,-0.6811227,4.118806E-08,-0.02211617,-0.6580726,1.368208,-0.1779613,-0.709067,-1.34427,-0.1257256,-0.02620111,1.402776,-0.1454053,-0.05355339,-1.384905,-0.1674992,0.6296564,3.656814E-08,-0.0351253,0.6563975,1.426001,-0.1678559,0.6038389
6,-1.246862,-0.1464865,-0.686785,-8.424509E-08,-0.03452762,-0.6563754,1.340669,-0.1595112,-0.7181866,-1.307488,-0.1280342,-0.03240558,1.381441,-0.1390164,-0.0613237,-1.357458,-0.1646834,0.6218441,3.992736E-08,-0.02166546,0.657999,1.410604,-0.1749716,0.59439
7,-1.196066,-0.1392516,-0.6928261,-9.864188E-08,-0.02232532,-0.6578158,1.300757,-0.1650311,-0.7249931,-1.267394,-0.1073257,-0.03918414,1.352585,-0.1327864,-0.07049739,-1.324045,-0.1543022,0.6151347,1.127936E-07,-0.03385352,0.6563584,1.393357,-0.1565218,0.5862529
8,-1.143232,-0.1319209,-0.6960723,-1.709328E-08,-0.03575249,-0.6564323,1.261881,-0.1482661,-0.7322373,-1.219533,-0.1132585,-0.04347273,1.319322,-0.1294131,-0.07678991,-1.285917,-0.1498291,0.6093923,9.805617E-08,-0.02406421,0.6580034,1.365916,-0.1656982,0.5777918
9,-1.082645,-0.1186616,-0.6999565,1.293073E-07,-0.02349828,-0.6575155,1.211091,-0.1484889,-0.7373157,-1.168408,-0.08874182,-0.04780933,1.279209,-0.116297,-0.08417487,-1.240601,-0.1378633,0.6046637,1.030347E-07,-0.03265796,0.6563572,1.33599,-0.1450436,0.5711853
10,-1.020083,-0.1154719,-0.7005964,2.569695E-07,-0.03695265,-0.6565224,1.161263,-0.1351188,-0.7421712,-1.110688,-0.09616621,-0.04994109,1.2346,-0.1161773,-0.08857968,-1.192297,-0.1322501,0.6013299,4.500066E-09,-0.02778796,0.6578568,1.297776,-0.152478,0.5645431
11,-0.9516284,-0.09743086,-0.7020602,3.036348E-07,-0.02446004,-0.6572951,1.101523,-0.1296505,-0.7451877,-1.05003,-0.07078484,-0.05155456,1.184585,-0.09730664,-0.09364539,-1.136788,-0.1194165,0.5989524,-5.100456E-08,-0.03168083,0.6563818,1.256479,-0.1300265,0.5600418
12,-0.8792524,-0.09854437,-0.7000489,1.46169E-07,-0.03818877,-0.6566514,1.040584,-0.1199934,-0.7474467,-0.9825786,-0.07806781,-0.05138293,1.128533,-0.1004825,-0.09591223,-1.078,-0.1131512,0.5982136,-1.837604E-08,-0.03161433,0.6576836,1.207197,-0.1363452,0.555521
13,-0.8043172,-0.07626823,-0.6990892,-4.79582E-08,-0.02544855,-0.6570936,0.9731677,-0.1093576,-0.748201,-0.9138047,-0.05250556,-0.05024479,1.069758,-0.07637551,-0.09838853,-1.013632,-0.100139,0.5982504,-7.014199E-08,-0.03068128,0.6564307,1.155633,-0.1127179,0.5534183
14,-0.726482,-0.08157707,-0.6945996,-1.253396E-08,-0.038885,-0.6567402,0.9049733,-0.1028184,-0.7477892,-0.8404493,-0.05997988,-0.04776873,1.005674,-0.08277546,-0.09823522,-0.9477042,-0.09410549,0.6001353,5.29117E-09,-0.03376625,0.6575761,1.098097,-0.1182555,0.5514106
15,-0.6429941,-0.05641301,-0.691225,-2.826807E-07,-0.02648962,-0.6569086,0.8280002,-0.08886526,-0.7461383,-0.7618403,-0.03524101,-0.04393903,0.9364789,-0.05470592,-0.09805802,-0.8730226,-0.08133842,0.6026261,1.36974E-07,-0.02963143,0.6565095,1.034979,-0.09437029,0.5517666
16,-0.5553916,-0.06831376,-0.6842422,1.37146E-07,-0.04058966,-0.6570057,0.7484745,-0.08862166,-0.7428796,-0.6784508,-0.04410917,-0.03915346,0.8606904,-0.06655814,-0.09551157,-0.7961998,-0.07579897,0.6073533,1.023144E-07,-0.03902362,0.657286,0.9658651,-0.1001696,0.5523456
17,-0.4755758,-0.04106415,-0.6793407,2.341991E-07,-0.02675709,-0.6568644,0.6733434,-0.07084919,-0.7393414,-0.6019076,-0.01967136,-0.03348143,0.7914625,-0.03583315,-0.09293691,-0.7222102,-0.06459418,0.611487,-2.276376E-07,-0.02936272,0.6565338,0.9010352,-0.07594364,0.5550849
18,-0.3827328,-0.05610309,-0.6704296,4.009567E-08,-0.04102246,-0.6570851,0.5866976,-0.07317795,-0.7336747,-0.5122727,-0.03020758,-0.02666032,0.7078861,-0.0499016,-0.0880155,-0.6378862,-0.06033115,0.6185282,-1.192458E-07,-0.04035483,0.6572049,0.8232908,-0.08244185,0.5581776
19,-0.2978933,-0.02830351,-0.6638929,-1.149944E-08,-0.02741574,-0.6567658,0.5053576,-0.05451471,-0.7281412,-0.4297172,-0.007565793,-0.0191108,0.6313527,-0.01781906,-0.08316701,-0.5572987,-0.05053377,0.6244894,-3.357143E-07,-0.02870159,0.6566013,0.7502692,-0.0591581,0.5631272
20,-0.2000751,-0.04617825,-0.6534338,1.071411E-07,-0.03926165,-0.6572734,0.4117131,-0.05934033,-0.7202219,-0.3340616,-0.01769985,-0.01062702,0.5400337,-0.03387001,-0.07611468,-0.4656285,-0.04534836,0.6337094,-1.552547E-08,-0.04066696,0.6570182,0.6639792,-0.06434242,0.5686736
21,-0.1066603,-0.01760438,-0.6451917,-2.308747E-07,-0.02933659,-0.656538,0.3206348,-0.03981835,-0.712649,-0.2419035,-0.0008236226,-0.001024211,0.4524963,-0.003385552,-0.06857079,-0.374833,-0.04019583,0.6414936,-4.576505E-08,-0.02678311,0.6568591,0.5791229,-0.0458218,0.5759628
22,-0.01060684,-0.03868855,-0.6342881,7.736304E-09,-0.03462062,-0.6575332,0.2264072,-0.04748857,-0.7032563,-0.1467512,-0.00688969,0.008043616,0.3597208,-0.01896377,-0.06037879,-0.2819885,-0.0335793,0.6518961,4.440682E-07,-0.03916177,0.6567777,0.4902002,-0.04648391,0.5834186
23,0.07894002,-0.01723216,-0.6256584,1.198207E-07,-0.03013249,-0.6564711,0.1376498,-0.03110576,-0.6950104,-0.05754061,0.002150128,0.01797298,0.2729074,0.004492176,-0.05159057,-0.193244,-0.03464038,0.6599975,2.447814E-07,-0.02599221,0.6569915,0.4050533,-0.03559814,0.5918005
24,0.1748989,-0.03750561,-0.6149479,0,-0.03189218,-0.6576719,0.04137084,-0.04112917,-0.684613,0.03903526,-0.002973995,0.02740919,0.1772237,-0.009979702,-0.04241198,-0.097483,-0.03055087,0.6709535,1.565215E-07,-0.03827832,0.6566608,0.311772,-0.03493983,0.6007764
25,0.2660151,-0.02293073,-0.6058447,-2.882572E-07,-0.03136293,-0.6563964,-0.05065156,-0.02674546,-0.6756604,0.1306854,-0.0004688662,0.03765287,0.0858689,0.006840302,-0.03239865,-0.005461897,-0.0341519,0.6796848,1.566517E-08,-0.02477369,0.6572282,0.2213095,-0.03023242,0.6102356
26,0.3620187,-0.04020878,-0.5959861,-7.736304E-09,-0.02701857,-0.6578894,-0.1489783,-0.03910809,-0.6647159,0.2288689,-0.002265739,0.04698651,-0.0129465,-0.004499649,-0.02272232,0.09322271,-0.03283605,0.6905808,6.685963E-08,-0.03670448,0.6565006,0.1234085,-0.0260356,0.6204832
27,0.450218,-0.03434402,-0.5873047,1.680555E-07,-0.032883,-0.656357,-0.2401138,-0.02731394,-0.655993,0.3185068,-0.008610168,0.05653278,-0.1044833,0.0034176,-0.01240103,0.1843696,-0.03895069,0.6991251,2.273591E-07,-0.02327634,0.6575678,0.0318398,-0.03024106,0.6299794
28,0.5380874,-0.04879239,-0.5795102,8.326849E-08,-0.02445534,-0.6579905,-0.3317751,-0.04288697,-0.6458902,0.4098918,-0.008413852,0.06447363,-0.1979322,-0.005643236,-0.003553594,0.2772568,-0.03984508,0.7086526,2.577634E-07,-0.03587801,0.6564385,-0.06222229,-0.02453096,0.6400403
29,0.6259473,-0.05005794,-0.5716437,8.368406E-08,-0.03433204,-0.6563702,-0.4250001,-0.03306361,-0.6376062,0.5002161,-0.02136285,0.07304775,-0.2923987,-0.005046051,0.006741296,0.3705059,-0.04864163,0.7167131,1.958464E-07,-0.02185701,0.6579444,-0.1576566,-0.0354134,0.6494327
30,0.7077072,-0.06073325,-0.5660284,1.846867E-07,-0.02156796,-0.6580299,-0.5116934,-0.05109511,-0.6286432,0.5868056,-0.01776715,0.07946054,-0.3824305,-0.01092156,0.01453477,0.4592742,-0.05158949,0.7245487,1.192424E-07,-0.03462815,0.6563777,-0.2497451,-0.0268364,0.6591302
31,0.7864391,-0.06720939,-0.5601921,-2.884219E-07,-0.03502234,-0.6563928,-0.597734,-0.04441328,-0.6220095,0.6686121,-0.03667195,0.08582296,-0.4703054,-0.01637872,0.02334198,0.545402,-0.06198755,0.7308772,-1.253912E-07,-0.02179711,0.6580821,-0.3393813,-0.04442993,0.6668583
32,0.8645886,-0.07584704,-0.5567344,-3.45346E-07,-0.02268572,-0.65772,-0.6821585,-0.0635198,-0.6144988,0.7530842,-0.03079414,0.09057815,-0.5597324,-0.02080162,0.02995969,0.6326662,-0.06702244,0.7369019,-2.107862E-07,-0.03348473,0.6563544,-0.4322512,-0.03647186,0.675755
33,0.9399172,-0.0902926,-0.5528459,-1.870011E-08,-0.03693157,-0.6565204,-0.7670597,-0.06605433,-0.6089498,0.8326271,-0.05709535,0.09470624,-0.6476303,-0.03487552,0.03733824,0.7185378,-0.07960061,0.7416945,2.539448E-08,-0.02772253,0.6578589,-0.523159,-0.05962117,0.6821432
34,1.000934,-0.09413818,-0.5522327,-1.536343E-08,-0.02267545,-0.6577227,-0.834557,-0.07955453,-0.6046523,0.9001747,-0.04861043,0.09680291,-0.7206022,-0.03584887,0.0412913,0.7887706,-0.084108,0.744781,-3.213752E-07,-0.0334959,0.6563539,-0.600252,-0.05035527,0.6884785
35,1.067197,-0.1084475,-0.5508643,9.500994E-09,-0.03674008,-0.6565042,-0.9119509,-0.08257617,-0.6014265,0.9711664,-0.07515871,0.09846041,-0.8016276,-0.05076757,0.04648881,0.8672214,-0.09742364,0.7471447,-2.92724E-07,-0.02712823,0.6578833,-0.6850027,-0.07475748,0.6927956
36,1.126903,-0.1115593,-0.5526203,-1.565573E-07,-0.02386997,-0.6574277,-0.9799497,-0.09717456,-0.5989972,1.038626,-0.06879698,0.09847886,-0.8769202,-0.05164343,0.04880598,0.9385961,-0.1037784,0.7480932,-1.048322E-07,-0.03227954,0.6563637,-0.7655988,-0.06914415,0.6975346
37,1.182011,-0.1297608,-0.5537141,1.452411E-07,-0.03766483,-0.6565929,-1.04755,-0.1046573,-0.5981385,1.099486,-0.09574457,0.09737763,-0.9487237,-0.07154589,0.05137934,1.007975,-0.117126,0.7480657,1.851184E-07,-0.02999303,0.6577591,-0.8423454,-0.09406179,0.699474
38,1.235336,-0.1276495,-0.5582753,3.094333E-08,-0.02555096,-0.6570747,-1.110635,-0.115495,-0.5984945,1.160808,-0.09058956,0.09488887,-1.020659,-0.06814348,0.05139882,1.074371,-0.1241279,0.7461634,2.318007E-07,-0.03057759,0.656438,-0.9201217,-0.09059943,0.7017334
39,1.280184,-0.1528745,-0.5618992,-3.317008E-08,-0.03971598,-0.6568615,-1.169569,-0.1311248,-0.600019,1.213412,-0.1175315,0.09089269,-1.084699,-0.09610945,0.05103897,1.136681,-0.1374459,0.7438419,1.837604E-08,-0.03633052,0.6574402,-0.9910852,-0.1165278,0.7011788
40,1.320811,-0.1420581,-0.5686381,-8.232114E-09,-0.02689062,-0.6568438,-1.220287,-0.1333799,-0.6032044,1.261208,-0.1100621,0.08632406,-1.144797,-0.08506354,0.04873198,1.189685,-0.1429882,0.7392009,2.95758E-08,-0.02922883,0.656547,-1.056629,-0.1118687,0.7006947
41,1.35366,-0.1714046,-0.5744774,-6.049575E-09,-0.04112716,-0.6571041,-1.268348,-0.1539271,-0.6071593,1.303407,-0.1357927,0.07981779,-1.19856,-0.1181228,0.04547944,1.242451,-0.1553252,0.7347127,-4.500066E-09,-0.0406781,0.6571854,-1.119052,-0.1375857,0.6975921
42,1.383346,-0.1532291,-0.5830512,7.647793E-08,-0.02821845,-0.6566592,-1.308713,-0.1494004,-0.6127775,1.339607,-0.1266329,0.07340233,-1.249061,-0.1006118,0.041082,1.284257,-0.1593962,0.7276719,1.273146E-07,-0.0278983,0.6566982,-1.174654,-0.1321776,0.6945441
43,1.402772,-0.1821246,-0.5902746,-1.142835E-07,-0.03940699,-0.6572632,-1.343762,-0.1696107,-0.6186525,1.36948,-0.1471272,0.06518358,-1.28986,-0.1339941,0.03542703,1.324965,-0.167188,0.7215723,-1.447073E-07,-0.04071456,0.6570266,-1.225473,-0.1535061,0.6892703
44,1.421682,-0.1615375,-0.6004469,-5.789771E-08,-0.02961137,-0.6565124,-1.37458,-0.1623195,-0.6265985,1.394801,-0.139397,0.05698565,-1.330978,-0.1181104,0.02891347,1.356656,-0.1722932,0.7123327,-4.866563E-08,-0.02650937,0.6569023,-1.272422,-0.1503558,0.6836703
45,1.428567,-0.1868731,-0.6087873,-4.016983E-08,-0.03554891,-0.6574844,-1.397174,-0.1806823,-0.6340225,1.41315,-0.1523672,0.04746714,-1.360408,-0.1452441,0.02117725,1.385966,-0.1739119,0.7049946,1.231849E-07,-0.03946215,0.6568203,-1.312565,-0.1648246,0.6765676
46,1.434561,-0.1678106,-0.619108,-8.278729E-10,-0.03041642,-0.6564503,-1.415706,-0.1715665,-0.6432629,1.425357,-0.1466634,0.03865002,-1.388663,-0.1313719,0.01339881,1.404595,-0.1804812,0.6946713,8.306159E-08,-0.0257106,0.6570428,-1.346685,-0.1642401,0.6692207
47,1.429643,-0.1861567,-0.6286893,3.262152E-08,-0.03095098,-0.657717,-1.426599,-0.1871442,-0.6522345,1.432581,-0.1520645,0.02793583,-1.407817,-0.1519469,0.003701407,1.422381,-0.1799523,0.6857091,6.334345E-08,-0.03797407,0.6566254,-1.377567,-0.171699,0.6603401
48,1.42258,-0.1706021,-0.6386482,-1.531923E-08,-0.03194195,-0.6563748,-1.433517,-0.1756134,-0.6625204,1.431811,-0.1498797,0.01880338,-1.42346,-0.1418858,-0.00501518,1.429398,-0.1840822,0.675063,-4.343877E-08,-0.02420225,0.6573509,-1.399376,-0.1749752,0.6514058
49,1.406116,-0.1809816,-0.6481309,-1.531923E-08,-0.02754039,-0.6578685,-1.43115,-0.1889393,-0.6716229,1.427043,-0.1476631,0.008373598,-1.430365,-0.1544956,-0.01537149,1.433987,-0.1807535,0.665948,-1.682976E-08,-0.03687276,0.6565145,-1.417945,-0.1749769,0.6420131
50,1.386783,-0.1670792,-0.6571342,-1.977302E-08,-0.03288575,-0.6563565,-1.426328,-0.1750571,-0.6821092,1.41378,-0.1472504,-0.0003121959,-1.433415,-0.1460642,-0.02434091,1.429262,-0.1823639,0.6557102,-4.759977E-09,-0.02327443,0.6575689,-1.427151,-0.1800572,0.6322977
51,1.358341,-0.1706506,-0.6661826,1.984069E-08,-0.02376267,-0.6580158,-1.411128,-0.1854896,-0.6911888,1.396997,-0.1378769,-0.01023517,-1.428455,-0.1517237,-0.03508571,1.420975,-0.1764649,0.6466388,1.954812E-08,-0.03565497,0.6564252,-1.43419,-0.1729085,0.622613
52,1.326098,-0.1598739,-0.6737837,-4.415561E-08,-0.03435623,-0.65637,-1.394408,-0.1688333,-0.7015535,1.370807,-0.1402798,-0.01813809,-1.418528,-0.1461854,-0.04393886,1.404353,-0.1756878,0.637222,-2.26969E-08,-0.02183296,0.6579513,-1.430629,-0.1806191,0.6124099
53,1.28632,-0.1552206,-0.6816938,-6.252293E-08,-0.02204833,-0.6578928,-1.366205,-0.1766378,-0.7097097,1.342274,-0.1224651,-0.02666525,-1.401592,-0.143173,-0.05420746,1.382909,-0.1673056,0.6289909,-5.558676E-08,-0.03413664,0.6563633,-1.425653,-0.16474,0.6034246
54,1.242868,-0.1483273,-0.687115,4.422454E-09,-0.03564957,-0.6564261,-1.337783,-0.1610816,-0.7186442,1.304336,-0.1288298,-0.03296811,-1.379172,-0.1409577,-0.06200119,1.355197,-0.1644381,0.6213357,-2.514009E-08,-0.02374405,0.6580134,-1.409262,-0.1758811,0.5936282
55,1.192827,-0.1370024,-0.6932126,-7.184353E-08,-0.02321463,-0.6575852,-1.298195,-0.1636814,-0.7254919,1.264601,-0.1054981,-0.03944838,-1.350745,-0.1305922,-0.07099535,1.321489,-0.1540068,0.6146545,5.149773E-08,-0.03294617,0.6563535,-1.391517,-0.1571504,0.585647
56,1.138936,-0.1334976,-0.6962481,-1.73639E-07,-0.03676333,-0.6565068,-1.25828,-0.1507993,-0.732435,1.215938,-0.1138737,-0.0438398,-1.316478,-0.1310192,-0.07730696,1.283079,-0.149492,0.6090919,-1.449818E-07,-0.02720129,0.6578808,-1.363873,-0.1663628,0.5772107
57,1.078135,-0.1159691,-0.7002231,7.718566E-08,-0.02453737,-0.6572796,-1.20731,-0.1467958,-0.7377524,1.163898,-0.08931781,-0.04793032,-1.276223,-0.113604,-0.08459251,1.236828,-0.1374237,0.6042931,1.71593E-07,-0.03160289,0.6563849,-1.333004,-0.1456344,0.5706155
58,1.013409,-0.1175595,-0.7006557,7.878417E-08,-0.03832381,-0.6566686,-1.155438,-0.1384352,-0.7423006,1.104871,-0.09691985,-0.0502193,-1.229723,-0.1182073,-0.08911234,1.187429,-0.1316904,0.601175,1.859095E-07,-0.03203233,0.6576639,-1.293924,-0.1532105,0.5639508
59,0.9461521,-0.09455844,-0.7021363,7.809948E-08,-0.02556283,-0.6570725,-1.096743,-0.1277778,-0.7454666,1.044554,-0.07136263,-0.05149608,-1.180583,-0.09435616,-0.09388903,1.132016,-0.1188969,0.5987676,1.359481E-07,-0.03056617,0.656439,-1.252478,-0.1305432,0.559616
60,0.871627,-0.1007055,-0.6999108,2.015036E-07,-0.03959856,-0.6568434,-1.033723,-0.1233434,-0.7474042,0.9757254,-0.07882585,-0.05142896,-1.122552,-0.1024771,-0.09625204,1.072027,-0.1125337,0.5983322,1.837604E-08,-0.03596826,0.6574602,-1.20219,-0.1369808,0.5551499
61,0.798746,-0.07366955,-0.6989689,1.716288E-07,-0.02645821,-0.656912,-0.9681559,-0.1076176,-0.7482755,0.9082331,-0.05305391,-0.05001707,-1.065389,-0.07363044,-0.09841055,1.008625,-0.09966224,0.5982817,-1.82291E-08,-0.02966349,0.6565066,-1.151263,-0.1131338,0.553211
62,0.7149966,-0.08468919,-0.6941361,-4.433394E-08,-0.04084347,-0.6570514,-0.894385,-0.1074784,-0.7474577,0.8298685,-0.06110249,-0.04750688,-0.9961553,-0.08550894,-0.09839012,0.9381947,-0.09328115,0.600672,-5.29117E-09,-0.03980311,0.6572387,-1.089799,-0.1190637,0.5512507
63,0.6335474,-0.05247018,-0.6907557,-1.154759E-07,-0.02807088,-0.6566746,-0.8192917,-0.0861811,-0.745972,0.7523943,-0.03620356,-0.04332777,-0.9286504,-0.05042144,-0.09775642,0.8643202,-0.08066943,0.6029882,-8.430031E-08,-0.02804558,0.6566807,-1.027151,-0.09500773,0.551749
64,0.5465335,-0.06799351,-0.6837457,-2.539448E-08,-0.03928778,-0.6572684,-0.7401379,-0.08935674,-0.7424654,0.6701177,-0.04231545,-0.03874122,-0.8530086,-0.06586048,-0.09539653,0.7885235,-0.07257012,0.6080241,-2.230036E-07,-0.04067591,0.6570216,-0.9589592,-0.09804676,0.5525087
65,0.4578237,-0.03563535,-0.6779841,2.873804E-08,-0.02954463,-0.6565145,-0.6567086,-0.06631205,-0.7385849,0.5842348,-0.02166452,-0.03201292,-0.7756257,-0.03290397,-0.09182972,0.7055845,-0.06366885,0.6126073,-9.82773E-09,-0.02657622,0.6568943,-0.8857077,-0.07717393,0.5555646
66,0.3681271,-0.05234846,-0.6693773,2.883294E-08,-0.03541542,-0.657489,-0.5726945,-0.07099999,-0.7326996,0.4982753,-0.02409402,-0.02566686,-0.6947111,-0.04541701,-0.08744652,0.6246061,-0.05314536,0.6198902,3.776907E-08,-0.03941946,0.656813,-0.8111511,-0.07566834,0.558883
67,0.2767722,-0.02671868,-0.6616337,-6.519329E-08,-0.03057963,-0.6564382,-0.4853249,-0.04971689,-0.7268318,0.4088221,-0.01027453,-0.01710441,-0.6117107,-0.0184656,-0.08138341,0.5372738,-0.04989102,0.6262119,-7.942447E-09,-0.02554858,0.6570696,-0.7314208,-0.06081581,0.5641956
68,0.184324,-0.04123158,-0.6521178,-1.09848E-07,-0.03198365,-0.6576641,-0.3963555,-0.05597736,-0.7189083,0.3187077,-0.01025116,-0.009273086,-0.5253145,-0.02804736,-0.07513824,0.4505304,-0.04120175,0.6350939,-7.106068E-08,-0.03830757,0.6566642,-0.6501296,-0.05608319,0.5698774
