Distance,Numhops
16.33603,27
16.33603,27
16.33603,27
16.33603,27
16.33603,27
16.33603,27
16.33603,27
15.63681,26
15.63681,26
15.63681,26
14.93705,25
14.93705,25
14.93705,25
14.26222,24
14.26222,24
14.26222,24
13.17835,22
13.17835,22
13.17835,22
13.17835,22
12.93871,22
12.93871,22
12.93871,22
12.93871,22
12.51719,21
12.51719,21
12.51719,21
12.51719,21
12.51719,21
12.29335,21
12.29335,21
12.29335,21
12.29335,21
11.84496,20
11.84496,20
11.84496,20
11.84496,20
11.84496,20
11.60355,20
11.60355,20
11.60355,20
11.60355,20
11.60355,20
11.2134,19
11.2134,19
11.2134,19
11.2134,19
11.02027,19
11.02027,19
11.02027,19
11.02027,19
11.02027,19
10.93034,19
10.93034,19
10.93034,19
10.93034,19
10.93034,19
10.48404,18
10.48404,18
10.48404,18
10.48404,18
10.48404,18
10.48404,18
9.819066,17
9.819066,17
9.819066,17
9.819066,17
9.819066,17
9.594854,17
9.594854,17
9.594854,17
9.594854,17
9.594854,17
9.594854,17
9.594854,17
9.298594,16
9.298594,16
9.298594,16
9.298594,16
9.184305,16
9.184305,16
9.184305,16
9.184305,16
9.184305,16
9.178743,16
9.178743,16
9.178743,16
9.178743,16
9.178743,16
9.170346,16
9.170346,16
9.170346,16
9.170346,16
9.175251,16
9.175251,16
9.175251,16
9.175251,16
9.139422,16
9.139422,16
9.139422,16
9.139422,16
9.139422,16
9.13963,16
9.13963,16
9.13963,16
9.13963,16
9.13963,16
9.13963,16
9.13963,16
9.13963,16
9.137971,16
9.137971,16
9.137971,16
9.137971,16
9.137971,16
9.137971,16
9.137971,16
9.137971,16
9.137901,16
9.137901,16
9.137901,16
9.137901,16
9.137901,16
9.137901,16
9.137901,16
9.137901,16
9.138172,16
9.138172,16
9.138172,16
9.138172,16
9.138172,16
9.138172,16
9.138172,16
9.138172,16
9.138776,16
9.138776,16
9.138776,16
9.138776,16
9.138776,16
9.138776,16
9.138776,16
9.138776,16
9.139707,16
9.139707,16
9.139707,16
9.139707,16
9.139707,16
9.139707,16
9.139707,16
9.139707,16
9.140957,16
9.140957,16
9.140957,16
9.140957,16
9.140957,16
9.140957,16
9.140957,16
9.140957,16
9.14252,16
9.14252,16
9.14252,16
9.14252,16
9.14252,16
9.14252,16
9.14252,16
9.14252,16
9.144392,16
9.144392,16
9.144392,16
9.144392,16
9.144392,16
9.144392,16
9.144392,16
9.144392,16
9.146564,16
9.146564,16
9.146564,16
9.146564,16
9.146564,16
9.146564,16
9.146564,16
9.146564,16
9.149027,16
9.149027,16
9.149027,16
9.149027,16
9.149027,16
9.149027,16
9.149027,16
9.149027,16
9.151777,16
9.151777,16
9.151777,16
9.151777,16
9.151777,16
9.151777,16
9.151777,16
9.151777,16
9.154595,16
9.154595,16
9.154595,16
9.154595,16
9.154595,16
9.154595,16
9.154595,16
9.154595,16
9.157626,16
9.157626,16
9.157626,16
9.157626,16
