NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,0,1,1
1584,1,1,1
1584,2,1,1
1584,3,1,1
1584,4,1,1
1584,5,1,1
1584,6,1,1
1584,7,1,1
1584,8,1,1
1584,9,1,1
1584,10,1,1
1584,11,1,1
1584,12,1,1
1584,13,1,1
1584,14,1,1
1584,15,1,1
1584,16,1,1
1584,17,1,1
1584,18,1,1
1584,19,1,1
1584,20,1,1
1584,21,1,1
1584,22,1,1
1584,23,1,1
1584,24,1,1
1584,25,1,1
1584,26,1,1
1584,27,1,1
1584,28,1,1
1584,29,1,1
1584,30,1,1
1584,31,1,1
1584,32,1,1
1584,33,1,1
1584,34,1,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,34,1,1
1584,35,1,1
1584,36,1,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,0,1,1
1584,1,1,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,1,1
