NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,14,10.42658
1584,0,2,16,9.9447
1584,0,3,16,9.902711
1584,0,4,14,10.41031
1584,0,5,16,9.968183
1584,0,6,16,9.912808
1584,0,7,14,10.35668
1584,0,8,16,10.06588
1584,0,9,16,9.913506
1584,0,10,14,10.30864
1584,0,11,16,10.09743
1584,0,12,16,9.93875
1584,0,13,16,9.906661
1584,0,14,17,10.43587
1584,0,15,16,9.935695
1584,0,16,16,9.905129
1584,0,17,14,10.41045
1584,0,18,16,9.971639
1584,0,19,16,9.908198
1584,0,20,14,10.35243
1584,0,21,16,10.06974
1584,0,22,16,9.917797
1584,0,23,16,9.922521
1584,0,24,16,10.10772
1584,0,25,16,9.929513
1584,0,26,16,9.908346
1584,0,27,17,10.43692
1584,0,28,16,9.940271
1584,0,29,16,9.907575
1584,0,30,17,10.44512
1584,0,31,16,9.951547
1584,0,32,16,9.902729
1584,0,33,14,10.35707
1584,0,34,16,10.06768
1584,0,35,16,9.918294
1584,0,36,14,10.33836
1584,0,37,16,10.07891
1584,0,38,16,9.917173
1584,0,39,16,9.914541
1584,0,40,17,10.43662
1584,0,41,16,9.936246
1584,0,42,16,9.905767
1584,0,43,14,10.42952
1584,0,44,16,9.960119
1584,0,45,16,9.903715
1584,0,46,14,10.37933
1584,0,47,16,9.987889
1584,0,48,16,9.912659
1584,0,49,14,10.3249
1584,0,50,16,10.08923
1584,0,51,16,9.921183
1584,0,52,16,9.913982
1584,0,53,17,10.43855
1584,0,54,16,9.940006
1584,0,55,16,9.90492
1584,0,56,17,10.44319
1584,0,57,16,9.957
1584,0,58,16,9.906004
1584,0,59,14,10.38268
1584,1,0,1,3.402823E+38
1584,1,1,16,9.904025
1584,1,2,14,10.3802
1584,1,3,16,9.981381
1584,1,4,16,9.911641
1584,1,5,14,10.32891
1584,1,6,16,10.08707
1584,1,7,16,9.920493
1584,1,8,16,9.912269
1584,1,9,17,10.43637
1584,1,10,16,9.939245
1584,1,11,16,9.90841
1584,1,12,17,10.44491
1584,1,13,16,9.955762
1584,1,14,16,9.903078
1584,1,15,14,10.39423
1584,1,16,16,9.971023
1584,1,17,16,9.910454
1584,1,18,14,10.35162
1584,1,19,16,10.0765
1584,1,20,16,9.917166
1584,1,21,16,9.916656
1584,1,22,17,10.43837
1584,1,23,16,9.937114
1584,1,24,16,9.908359
1584,1,25,17,10.44008
1584,1,26,16,9.94814
1584,1,27,16,9.903846
1584,1,28,14,10.40856
1584,1,29,16,9.970081
1584,1,30,16,9.90642
1584,1,31,14,10.38454
1584,1,32,16,10.06584
1584,1,33,16,9.912266
1584,1,34,16,9.919236
1584,1,35,16,10.10432
1584,1,36,16,9.924332
1584,1,37,16,9.909853
1584,1,38,17,10.43726
1584,1,39,16,9.943641
1584,1,40,16,9.907049
1584,1,41,14,10.41733
1584,1,42,16,9.957923
1584,1,43,16,9.906046
1584,1,44,14,10.37729
1584,1,45,16,9.964462
1584,1,46,16,9.905642
1584,1,47,14,10.41642
1584,1,48,16,9.942908
1584,1,49,16,9.903571
1584,1,50,17,10.44315
1584,1,51,16,9.940404
1584,1,52,16,9.905709
1584,1,53,14,10.37949
1584,1,54,16,9.985221
1584,1,55,16,9.910458
1584,1,56,14,10.32158
1584,1,57,16,10.09845
1584,1,58,16,9.92758
1584,1,59,16,9.913403
1584,2,0,1,3.402823E+38
1584,2,1,16,9.903301
1584,2,2,14,10.40429
1584,2,3,16,9.97127
1584,2,4,16,9.908107
1584,2,5,14,10.36305
1584,2,6,16,10.05803
1584,2,7,16,9.912131
1584,2,8,14,10.30956
1584,2,9,16,10.10648
1584,2,10,16,9.92711
1584,2,11,16,9.915099
1584,2,12,17,10.44049
1584,2,13,16,9.940786
1584,2,14,16,9.902407
1584,2,15,14,10.41906
1584,2,16,16,9.970364
1584,2,17,16,9.909571
1584,2,18,14,10.35383
1584,2,19,16,10.06757
1584,2,20,16,9.913239
1584,2,21,14,10.31516
1584,2,22,16,10.09395
1584,2,23,16,9.927711
1584,2,24,16,9.914052
1584,2,25,17,10.43586
1584,2,26,16,9.934102
1584,2,27,16,9.90425
1584,2,28,14,10.43444
1584,2,29,16,9.963022
1584,2,30,16,9.906117
1584,2,31,14,10.3806
1584,2,32,16,9.986421
1584,2,33,16,9.909604
1584,2,34,14,10.33934
1584,2,35,16,10.08853
1584,2,36,16,9.920696
1584,2,37,16,9.912468
1584,2,38,17,10.4357
1584,2,39,16,9.937954
1584,2,40,16,9.906535
1584,2,41,17,10.44175
1584,2,42,16,9.959468
1584,2,43,16,9.90353
1584,2,44,14,10.38547
1584,2,45,16,9.967896
1584,2,46,16,9.912416
1584,2,47,14,10.32908
1584,2,48,16,10.08481
1584,2,49,16,9.914234
1584,2,50,16,9.918071
1584,2,51,16,10.10766
1584,2,52,16,9.932178
1584,2,53,16,9.911422
1584,2,54,17,10.4389
1584,2,55,16,9.942924
1584,2,56,16,9.902421
1584,2,57,14,10.43207
1584,2,58,16,9.965842
1584,2,59,16,9.908522
1584,3,0,1,3.402823E+38
1584,3,1,16,9.903328
1584,3,2,14,10.40748
1584,3,3,16,9.973228
1584,3,4,16,9.911732
1584,3,5,14,10.34415
1584,3,6,16,9.982601
1584,3,7,16,9.910209
1584,3,8,14,10.34225
1584,3,9,16,10.08044
1584,3,10,16,9.920254
1584,3,11,16,9.918447
1584,3,12,17,10.43735
1584,3,13,16,9.938847
1584,3,14,16,9.903378
1584,3,15,14,10.43798
1584,3,16,16,9.94925
1584,3,17,16,9.907701
1584,3,18,14,10.40615
1584,3,19,16,9.975248
1584,3,20,16,9.906602
1584,3,21,14,10.35201
1584,3,22,16,10.07944
1584,3,23,16,9.920367
1584,3,24,16,9.915183
1584,3,25,16,10.10698
1584,3,26,16,9.915931
1584,3,27,16,9.90881
1584,3,28,17,10.43903
1584,3,29,16,9.938837
1584,3,30,16,9.913348
1584,3,31,17,10.43738
1584,3,32,16,9.938968
1584,3,33,16,9.903231
1584,3,34,17,10.44533
1584,3,35,16,9.969593
1584,3,36,16,9.906456
1584,3,37,14,10.38741
1584,3,38,16,10.07292
1584,3,39,16,9.913085
1584,3,40,14,10.30705
1584,3,41,16,10.10459
1584,3,42,16,9.929842
