NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,12,7.09639
1584,0,2,11,6.771363
1584,0,3,10,7.098536
1584,0,4,9,6.909147
1584,0,5,11,6.764652
1584,0,6,12,7.125883
1584,0,7,9,6.973074
1584,0,8,11,6.773164
1584,0,9,12,7.147219
1584,0,10,9,7.017917
1584,0,11,11,6.775157
1584,0,12,12,7.138908
1584,0,13,9,7.058113
1584,0,14,11,6.748655
1584,0,15,12,7.12103
1584,0,16,9,7.092809
1584,0,17,11,6.727404
1584,0,18,12,7.098518
1584,0,19,12,7.206373
1584,0,20,11,6.698124
1584,0,21,12,7.083599
1584,0,22,11,6.623129
1584,0,23,11,6.684402
1584,0,24,12,7.06796
1584,0,25,11,6.614621
1584,0,26,11,6.668731
1584,0,27,12,7.059783
1584,0,28,11,6.606373
1584,0,29,11,6.862437
1584,0,30,12,7.044651
1584,0,31,11,6.603667
1584,0,32,11,6.833005
1584,0,33,12,7.04172
1584,0,34,11,6.603392
1584,0,35,11,6.815808
1584,0,36,10,6.876081
1584,0,37,11,6.606291
1584,0,38,11,6.801379
1584,0,39,10,6.889226
1584,0,40,11,6.606737
1584,0,41,11,6.792924
1584,0,42,10,6.900891
1584,0,43,11,6.612341
1584,0,44,10,7.007054
1584,0,45,10,6.916292
1584,0,46,11,6.610674
1584,0,47,10,7.032007
1584,0,48,10,6.934919
1584,0,49,11,6.617736
1584,0,50,10,7.048347
1584,0,51,10,6.955651
1584,0,52,11,6.621906
1584,0,53,10,7.067109
1584,0,54,10,6.98115
1584,0,55,11,6.634343
1584,0,56,12,7.091809
1584,0,57,10,7.007518
1584,0,58,11,6.643238
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,12,7.09639
