time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.427613,-0.1525691,0.009539464,-7.466875E-09,-0.03267534,-0.657633,1.422281,-0.2782608,-1.322313,-1.434556,-0.1805256,0.6673537,1.431732,-0.1905675,-0.6704317,-1.425364,-0.2842034,1.317229,2.391442E-09,-0.03853169,0.6566918,1.42954,-0.1576303,-0.01410727
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.428576,-0.1608429,0.01168839,-7.466875E-09,-0.04134417,-0.657145,1.425628,-0.278564,-1.321314,-1.434149,-0.1865668,0.669221,1.432715,-0.1932955,-0.6684532,-1.423948,-0.2864013,1.319976,-1.734941E-08,-0.04134417,0.6571445,1.428144,-0.1629066,-0.01185807
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.427596,-0.1524273,0.009506756,-7.466875E-09,-0.03252668,-0.6576403,1.422224,-0.2782553,-1.322333,-1.43454,-0.1805319,0.6673113,1.431715,-0.190521,-0.6704671,-1.425388,-0.2841662,1.317186,1.141596E-08,-0.03848321,0.6566844,1.429564,-0.1575398,-0.01414241
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.428576,-0.1608429,0.01168839,-7.466875E-09,-0.04134417,-0.657145,1.425628,-0.278564,-1.321314,-1.434149,-0.1865668,0.669221,1.432715,-0.1932955,-0.6684532,-1.423948,-0.2864013,1.319976,-1.734941E-08,-0.04134417,0.6571445,1.428144,-0.1629066,-0.01185807
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.427813,-0.1542958,0.009969842,1.633432E-08,-0.03448312,-0.6575407,1.422979,-0.2783238,-1.322087,-1.434757,-0.1804428,0.6678553,1.431937,-0.1911388,-0.6700183,-1.425069,-0.2846612,1.317779,-2.716191E-08,-0.03911645,0.6567678,1.429249,-0.1587321,-0.01364914
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.428576,-0.1608429,0.01168839,-7.466875E-09,-0.04134417,-0.657145,1.425628,-0.278564,-1.321314,-1.434149,-0.1865668,0.669221,1.432715,-0.1932955,-0.6684532,-1.423948,-0.2864013,1.319976,-1.734941E-08,-0.04134417,0.6571445,1.428144,-0.1629066,-0.01185807
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
