NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,1,0,1,3.402823E+38
1584,2,0,1,3.402823E+38
1084,0,0,1,3.402823E+38
1084,1,0,1,3.402823E+38
1084,2,0,1,3.402823E+38
584,0,0,1,3.402823E+38
584,1,0,1,3.402823E+38
584,2,0,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,1,3.402823E+38
1584,0,12,1,3.402823E+38
1584,0,13,1,3.402823E+38
1584,0,14,1,3.402823E+38
1584,0,15,1,3.402823E+38
1584,0,16,1,3.402823E+38
1584,0,17,1,3.402823E+38
1584,0,18,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,1,3.402823E+38
1584,0,12,1,3.402823E+38
1584,0,13,1,3.402823E+38
1584,0,14,1,3.402823E+38
1584,0,15,1,3.402823E+38
1584,0,16,1,3.402823E+38
1584,0,17,1,3.402823E+38
1584,0,18,1,3.402823E+38
1584,0,19,1,3.402823E+38
1584,1,0,1,3.402823E+38
1584,1,1,1,3.402823E+38
1584,1,2,1,3.402823E+38
1584,1,3,1,3.402823E+38
1584,1,4,1,3.402823E+38
1584,1,5,1,3.402823E+38
1584,1,6,1,3.402823E+38
1584,1,7,1,3.402823E+38
1584,1,8,1,3.402823E+38
1584,1,9,1,3.402823E+38
1584,1,10,1,3.402823E+38
1584,1,11,1,3.402823E+38
1584,1,12,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,1,3.402823E+38
1584,0,12,1,3.402823E+38
1584,0,13,1,3.402823E+38
1584,0,14,1,3.402823E+38
1584,0,15,1,3.402823E+38
1584,0,16,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
1584,0,11,3,1.455832
1584,0,12,3,1.438998
1584,0,13,3,1.440581
1584,0,14,3,1.408925
1584,0,15,3,1.390792
1584,0,16,3,1.350745
1584,0,17,3,1.336702
1584,0,18,3,1.310329
1584,0,19,3,1.301204
1584,1,0,1,3.402823E+38
1584,1,1,1,3.402823E+38
1584,1,2,1,3.402823E+38
1584,1,3,1,3.402823E+38
1584,1,4,1,3.402823E+38
1584,1,5,1,3.402823E+38
1584,1,6,1,3.402823E+38
1584,1,7,1,3.402823E+38
1584,1,8,1,3.402823E+38
1584,1,9,1,3.402823E+38
1584,1,10,1,3.402823E+38
1584,1,11,3,1.439254
1584,1,12,3,1.41952
1584,1,13,3,1.396593
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,1,3.402823E+38
1584,0,2,1,3.402823E+38
1584,0,3,1,3.402823E+38
1584,0,4,1,3.402823E+38
1584,0,5,1,3.402823E+38
1584,0,6,1,3.402823E+38
1584,0,7,1,3.402823E+38
1584,0,8,1,3.402823E+38
1584,0,9,1,3.402823E+38
1584,0,10,1,3.402823E+38
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.098151
1584,0,2,3,1.074366
1584,0,3,3,1.102886
1584,0,4,3,1.089472
1584,0,5,3,1.123568
1584,0,6,3,1.12546
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.134035
1584,0,2,3,1.117085
1584,0,3,3,1.120488
1584,0,4,3,1.093012
1584,0,5,3,1.098673
1584,0,6,3,1.091876
1584,0,7,3,1.100473
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.450306
1584,0,2,3,1.412952
1584,0,3,3,1.39224
1584,0,4,3,1.358311
1584,0,5,3,1.348321
1584,0,6,3,1.318151
1584,0,7,3,1.321596
1584,0,8,3,1.296337
1584,0,9,3,1.314466
1584,0,10,3,1.285656
1584,0,11,3,1.258198
1584,0,12,3,1.232381
1584,0,13,3,1.210097
1584,0,14,3,1.198241
1584,0,15,3,1.181247
1584,0,16,3,1.185625
1584,0,17,3,1.174249
1584,0,18,3,1.194903
1584,0,19,3,1.163932
1584,1,0,1,3.402823E+38
1584,1,1,3,1.402734
1584,1,2,3,1.408205
1584,1,3,3,1.37581
1584,1,4,3,1.386517
1584,1,5,3,1.365068
1584,1,6,3,1.332407
1584,1,7,3,1.306739
1584,1,8,3,1.277966
1584,1,9,3,1.267888
1584,1,10,3,1.24344
1584,1,11,3,1.247092
1584,1,12,3,1.229094
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.445632
1584,0,2,3,1.408641
1584,0,3,3,1.390784
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.098271
1584,0,2,3,1.120594
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.119508
1584,0,2,3,1.106182
1584,0,3,3,1.101258
1584,0,4,3,1.087082
1584,0,5,3,1.101716
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.104216
1584,0,2,3,1.083504
1584,0,3,3,1.097383
1584,0,4,3,1.079614
1584,0,5,3,1.112931
1584,0,6,3,1.10015
1584,0,7,3,1.137735
1584,0,8,3,1.14316
1584,0,9,3,1.140195
1584,0,10,3,1.129748
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.091977
1584,0,2,3,1.106191
1584,0,3,3,1.116358
1584,0,4,3,1.129514
1584,0,5,3,1.098827
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.090229
1584,0,2,3,1.080927
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.091344
1584,0,2,3,1.078676
1584,0,3,3,1.094871
1584,0,4,3,1.10022
1584,0,5,3,1.12011
1584,0,6,3,1.142473
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.095928
1584,0,2,3,1.077733
1584,0,3,3,1.094039
1584,0,4,3,1.094053
1584,0,5,3,1.115442
1584,0,6,3,1.135097
1584,0,7,3,1.122972
1584,0,8,3,1.131994
1584,0,9,3,1.112162
1584,0,10,3,1.136098
1584,0,11,3,1.123174
1584,0,12,3,1.161188
1584,0,13,3,1.155251
1584,0,14,3,1.198362
1584,0,15,3,1.210823
1584,0,16,3,1.205719
1584,0,17,3,1.208576
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.09187
1584,0,2,3,1.105849
1584,0,3,3,1.12055
1584,0,4,3,1.125823
1584,0,5,3,1.099228
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,0,1,3.402823E+38
1584,0,1,3,1.092001
1584,0,2,3,1.105826
