NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,12,7.09639
1584,0,2,11,6.768907
1584,0,3,10,7.09842
1584,0,4,9,6.89899
1584,0,5,11,6.77486
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,12,7.09639
1584,0,2,11,6.771401
1584,0,3,12,7.106469
1584,0,4,9,6.933361
1584,0,5,11,6.780472
1584,1,1,11,6.770683
1584,1,2,10,7.081686
1584,1,3,11,6.667283
1584,1,4,12,7.114803
1584,1,5,9,6.952426
1584,2,1,11,6.791882
1584,2,2,9,7.026633
1584,2,3,11,6.686786
1584,2,4,12,7.11467
1584,2,5,9,6.920057
1384,0,1,1,3.402823E+38
1384,0,2,14,9.101027
1384,0,3,12,8.274727
1384,0,4,12,7.735423
1384,0,5,10,7.420064
1384,1,1,11,7.127195
1384,1,2,12,7.299706
1384,1,3,12,7.377682
1384,1,4,12,7.241363
1384,1,5,10,7.121902
1384,2,1,11,6.862735
1384,2,2,10,7.106715
1384,2,3,9,6.900482
1384,2,4,11,6.930933
1384,2,5,12,7.138878
1184,0,1,11,6.937754
1184,0,2,12,8.564145
1184,0,3,11,8.362911
1184,0,4,12,9.214415
1184,0,5,12,7.745419
1184,1,1,11,6.699424
1184,1,2,10,7.107348
1184,1,3,9,6.960805
1184,1,4,11,6.768625
1184,1,5,12,7.184412
1184,2,1,12,7.312461
1184,2,2,12,7.222862
1184,2,3,12,7.283846
1184,2,4,12,7.197317
1184,2,5,12,7.143581
984,0,1,10,7.443105
984,0,2,12,9.056746
984,0,3,12,9.467253
984,0,4,14,9.710129
984,0,5,12,7.339501
984,1,1,10,7.291425
984,1,2,10,7.354479
984,1,3,10,7.91174
984,1,4,11,7.822128
984,1,5,12,8.153631
984,2,1,10,7.449242
984,2,2,1,3.402823E+38
984,2,3,14,8.927284
984,2,4,13,8.341434
984,2,5,14,8.705072
784,0,1,1,3.402823E+38
784,0,2,1,3.402823E+38
784,0,3,1,3.402823E+38
784,0,4,1,3.402823E+38
784,0,5,1,3.402823E+38
784,1,1,1,3.402823E+38
784,1,2,1,3.402823E+38
784,1,3,1,3.402823E+38
784,1,4,1,3.402823E+38
784,1,5,1,3.402823E+38
784,2,1,1,3.402823E+38
784,2,2,1,3.402823E+38
784,2,3,1,3.402823E+38
784,2,4,1,3.402823E+38
784,2,5,1,3.402823E+38
