FaliureRate,ConnectedComponents,Error
0,1,0
0.04166666667,1.01,0.02276003475
0.08333333333,1.08,0.06205749352
0.125,1.37,0.1397230148
0.1666666667,2.05,0.2450370022
0.2083333333,3.69,0.3864334384
0.25,6.45,0.565310512
0.2916666667,11.33,0.8003234577
0.3333333333,18.17,1.082171363
0.375,31.58,1.210492927
0.4166666667,48.73,1.55711163
0.4583333333,74.57,2.007573521
0.5,104.34,2.013810045
0.5416666667,134.22,2.06597382
0.5833333333,160.53,2.168022813
0.625,180.5,2.297853975
0.6666666667,197.43,2.258290928
0.7083333333,204.87,2.058889074
0.75,203.96,2.298177305
0.7916666667,195.03,1.789337881
0.8333333333,176.4,1.542982576
0.875,149.43,1.410927468
0.9166666667,110.05,0.8873347698
0.9583333333,60.64,0.4996118397
1,0,0
