faliure rate,average,error
0.00,1,0
1.39,1,0
2.78,1,0
4.17,1,0
5.56,1.01,0.02276003475
6.94,1.03,0.03902130755
8.33,1.13,0.08345346074
9.72,1.08,0.07709824445
11.11,1.22,0.1100841012
12.50,1.33,0.1296210324
13.89,1.46,0.1631015523
15.28,1.58,0.1655217779
16.67,2.09,0.2569613431
18.06,2.67,0.2464847962
19.44,2.76,0.2840886165
20.83,3.78,0.4009014739
22.22,3.86,0.4040735825
23.61,5.16,0.4560275815
25.00,5.86,0.5022233058
26.39,7.49,0.6368004664
27.78,9.64,0.7120757166
29.17,10.66,0.704466352
30.56,13.53,0.8903253511
31.94,15.75,0.904852527
