faliure rate,average,lower percentile,upper percentile
0.00,1,1,1
1.39,1,1,1
2.78,1,1,1
4.17,1,1,1
5.56,1.01,0.9872399653,1.032760035
6.94,1.03,0.9909786924,1.069021308
8.33,1.13,1.046546539,1.213453461
9.72,1.08,1.002901756,1.157098244
11.11,1.22,1.109915899,1.330084101
12.50,1.33,1.200378968,1.459621032
13.89,1.46,1.296898448,1.623101552
15.28,1.58,1.414478222,1.745521778
16.67,2.09,1.833038657,2.346961343
18.06,2.67,2.423515204,2.916484796
19.44,2.76,2.475911384,3.044088616
20.83,3.78,3.379098526,4.180901474
22.22,3.86,3.455926418,4.264073582
23.61,5.16,4.703972418,5.616027582
25.00,5.86,5.357776694,6.362223306
