percent faliure,average,lower percentile,upper percentile
0.00,1,1,1
4.17,1.01,0.9872399653,1.032760035
8.33,1.1,1.017524112,1.182475888
12.50,1.39,1.235210804,1.544789196
16.67,2.12,1.892905994,2.347094006
20.83,3.66,3.275568979,4.044431021
25.00,6.78,6.265873724,7.294126276
29.17,11.07,10.29613515,11.84386485
33.33,18.61,17.60982633,19.61017367
37.50,31.57,30.36815078,32.77184922
41.67,49.29,47.70278785,50.87721215
45.83,77.05,75.3776814,78.7223186
50.00,105.82,103.8883732,107.7516268
54.17,133.11,131.0926399,135.1273601
58.33,158.01,155.9203756,160.0996244
62.50,181.06,178.9195787,183.2004213
66.67,195.87,193.4470838,198.2929162
70.83,204.25,202.1479225,206.3520775
75.00,204.05,201.9187522,206.1812478
79.17,196.12,194.1158111,198.1241889
83.33,177.56,175.7176793,179.4023207
87.50,149.27,147.8922462,150.6477538
91.67,110.16,109.1264687,111.1935313
95.83,60.8,60.2967567,61.3032433
100.00,0,0,0
