FaliureRate,DownTime,AveragePathLength,Error
0,0.1833333333,211.3778602,0.6032281418
0.04166666667,0.1566666667,211.9691634,0.6548681203
0.08333333333,0.1366666667,223.523735,1.251027397
0.125,0.2333333333,231.2886836,0.760150817
0.1666666667,0.1433333333,246.9514554,0.4764903384
0.2083333333,0.1933333333,276.5405036,1.740340617
0.25,0.2066666667,297.3835021,5.690486286
0.2916666667,0.19,361.6609509,8.26239742
0.3333333333,0.2433333333,453.3360173,13.50979774
0.375,0.2566666667,559.9602258,15.57206772
0.4166666667,0.48,695.8870989,39.93709617
0.4583333333,0.94,627.1881734,24.63957473
0.5,0.9833333333,557.0941931,795.0171463
0.5416666667,1,,
0.5833333333,0.9866666667,232.8899815,
0.625,1,,
0.6666666667,1,,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
