FaliureRate,DownTime,AveragePathLength,Error
0,0,45.94184886,0.02690474097
0.04166666667,0,46.29577757,0.08089497613
0.08333333333,0.003333333333,46.18155274,0.04409370126
0.125,0,47.17650971,0.1219060626
0.1666666667,0.01,49.21490414,0.6029083241
0.2083333333,0.01333333333,49.95856881,0.3464321553
0.25,0.03333333333,51.82712514,0.5974442178
0.2916666667,0.03333333333,55.54904443,0.5063288411
0.3333333333,0.1066666667,86.12130332,4.65139014
0.375,0.1233333333,104.4854215,6.452679367
0.4166666667,0.3233333333,119.0103259,8.426657273
0.4583333333,0.63,123.3807842,13.94524915
0.5,0.7933333333,65.37420719,2.076317361
0.5416666667,0.8666666667,57.65316077,2.062217414
0.5833333333,0.9666666667,56.80518543,0.7294765419
0.625,0.9766666667,63.11932192,19.29904814
0.6666666667,0.98,50.97013036,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
