Time (seconds),Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
1,0.01666666667,14,10.42658,34.77932724
2,0.03333333333,14,10.42299,34.76735229
3,0.05,14,10.41284,34.73349553
4,0.06666666667,14,10.40276,34.69987227
5,0.08333333333,14,10.3931,34.66764998
6,0.1,14,10.3838,34.63662852
7,0.1166666667,14,10.37466,34.60614076
8,0.1333333333,14,10.36543,34.57535279
9,0.15,14,10.35676,34.54643279
10,0.1666666667,14,10.34824,34.51801312
11,0.1833333333,14,10.33981,34.48989367
12,0.2,14,10.33163,34.46260813
13,0.2166666667,14,10.32377,34.43638999
14,0.2333333333,14,10.31588,34.41007178
15,0.25,14,10.30842,34.3851879
16,0.2666666667,14,10.3011,34.36077101
17,0.2833333333,16,9.919401,33.08756019
18,0.3,16,9.917524,33.0812992
19,0.3166666667,16,9.915734,33.0753284
20,0.3333333333,16,9.914156,33.07006476
21,0.35,16,9.912758,33.06540153
22,0.3666666667,16,9.91147,33.06110523
23,0.3833333333,16,9.910334,33.05731594
24,0.4,16,9.909365,33.0540837
25,0.4166666667,16,9.908552,33.05137183
26,0.4333333333,16,9.907858,33.04905689
27,0.45,16,9.907335,33.04731235
28,0.4666666667,16,9.906955,33.04604481
29,0.4833333333,16,9.906727,33.04528428
30,0.5,16,9.906646,33.04501409
31,0.5166666667,16,9.906707,33.04521757
32,0.5333333333,16,9.906916,33.04591472
33,0.55,16,9.907288,33.04715558
34,0.5666666667,16,9.907789,33.04882673
35,0.5833333333,16,9.908422,33.05093819
36,0.6,16,9.909255,33.05371678
37,0.6166666667,16,9.910189,33.05683227
38,0.6333333333,16,9.911265,33.06042142
39,0.65,16,9.912205,33.06355692
40,0.6666666667,16,9.913248,33.067036
41,0.6833333333,16,9.914509,33.07124224
42,0.7,16,9.915822,33.07562194
43,0.7166666667,16,9.917356,33.08073881
44,0.7333333333,16,9.919054,33.08640273
45,0.75,16,9.920787,33.09218339
46,0.7666666667,16,9.92277,33.09879797
47,0.7833333333,16,9.924903,33.10591289
48,0.8,16,9.927025,33.11299112
49,0.8166666667,16,9.92945,33.12108005
50,0.8333333333,16,9.931987,33.12954257
51,0.85,16,9.933852,33.13576354
52,0.8666666667,16,9.935745,33.14207791
53,0.8833333333,16,9.937697,33.14858908
54,0.9,16,9.939912,33.15597753
55,0.9166666667,16,9.942142,33.16341601
56,0.9333333333,16,9.944666,33.17183516
57,0.95,16,9.947234,33.18040109
58,0.9666666667,16,9.950118,33.19002108
59,0.9833333333,16,9.95299,33.19960104
60,1,16,9.956147,33.21013166
61,1.016666667,16,9.959476,33.22123601
62,1.033333333,16,9.96277,33.23222361
63,1.05,16,9.966347,33.24415519
64,1.066666667,16,9.969693,33.25531625
65,1.083333333,16,9.973141,33.26681754
66,1.1,16,9.976929,33.27945295
67,1.116666667,16,9.98065,33.29186487
68,1.133333333,16,9.990951,33.3262253
69,1.15,16,9.995151,33.340235
70,1.166666667,16,10.0678,33.58256598
71,1.183333333,16,10.07318,33.60051172
72,1.2,16,10.07847,33.61815727
73,1.216666667,16,10.08421,33.63730384
74,1.233333333,16,10.08973,33.65571658
