Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
1,0.01666666667,14,10.42658,34.77932724
2,0.35,16,9.916756,33.07873742
3,0.6833333333,16,9.911808,33.06223267
4,1.016666667,16,9.951241,33.193767
5,1.35,16,10.11734,33.74781363
6,1.683333333,14,10.3416,34.49586447
7,2.016666667,16,9.916663,33.07842721
8,2.35,16,9.939119,33.15333236
9,2.683333333,16,10.00628,33.37735734
10,3.016666667,14,10.42566,34.77625845
11,3.35,14,10.25074,34.19278813
12,3.683333333,16,9.938073,33.14984328
13,4.016666667,16,9.973139,33.26681087
14,4.35,16,10.14953,33.85518791
15,4.683333333,14,10.31654,34.41227331
16,5.016666667,16,9.944951,33.17278582
17,5.35,16,9.95996,33.22285046
18,5.683333333,16,10.02608,33.44340304
19,6.016666667,14,10.3899,34.65697593
20,6.35,14,10.2208,34.09291904
21,6.683333333,16,9.95872,33.21871426
22,7.016666667,16,9.99026,33.32392038
23,7.35,16,10.17941,33.95485686
24,7.683333333,14,10.29369,34.33605391
25,8.016666667,14,10.14342,33.83480715
26,8.35,16,9.974093,33.26999307
27,8.683333333,14,10.01965,33.42195486
28,9.016666667,14,10.37098,34.5938656
29,9.35,14,10.1956,34.00886089
30,9.683333333,16,9.955557,33.20816363
31,10.01666667,16,9.991836,33.32917735
32,10.35,16,10.16734,33.91459568
33,10.68333333,14,10.26811,34.25072822
34,11.01666667,16,9.940523,33.1580156
35,11.35,16,9.955564,33.20818698
36,11.68333333,14,9.989128,33.32014443
37,12.01666667,14,10.34297,34.5004343
38,12.35,14,10.15687,33.87967152
39,12.68333333,16,9.929755,33.12209742
40,13.01666667,16,9.961507,33.22801069
41,13.35,16,10.15242,33.86482791
42,13.68333333,14,10.22434,34.10472721
43,14.01666667,16,9.922456,33.09775058
44,14.35,16,9.935459,33.14112392
45,14.68333333,14,9.960268,33.22387783
46,15.01666667,14,10.31487,34.40670279
47,15.35,16,9.928131,33.11668034
48,15.68333333,16,9.915207,33.07357052
49,16.01666667,16,9.94496,33.17281584
50,16.35,16,10.14827,33.850985
51,16.68333333,14,10.19039,33.9914822
52,17.01666667,16,9.904774,33.03876977
53,17.35,16,9.910284,33.05714916
54,17.68333333,14,9.936809,33.14562703
55,18.01666667,14,10.2783,34.2847184
56,18.35,16,9.909369,33.05409704
57,18.68333333,16,9.893889,33.00246132
58,19.01666667,16,9.918819,33.08561885
59,19.35,14,9.946055,33.17646837
60,19.68333333,14,10.16944,33.92160052
61,20.01666667,16,9.892226,32.99691415
62,20.35,16,9.8937,33.00183089
63,20.68333333,14,9.914276,33.07046503
64,21.01666667,15,10.32234,34.43162002
65,21.35,16,9.903241,33.03365624
66,21.68333333,16,9.881029,32.95956498
67,22.01666667,16,9.903427,33.03427667
68,22.35,14,9.923526,33.10131971
69,22.68333333,17,10.41599,34.7440028
70,23.01666667,16,9.878572,32.95136931
71,23.35,16,9.874762,32.93866052
72,23.68333333,14,9.893001,32.99949927
73,24.01666667,17,10.39228,34.66491475
74,24.35,16,9.888249,32.98364831
75,24.68333333,16,9.861834,32.89553735
76,25.01666667,16,9.883323,32.96721694
