Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
1,0.01666666667,12,7.096358,23.67090235
2,0.03333333333,12,7.096362,23.6709157
3,0.05,12,7.096552,23.67154947
4,0.06666666667,12,7.096925,23.67279366
5,0.08333333333,12,7.097491,23.67468164
6,0.1,12,7.098275,23.67729678
7,0.1166666667,12,7.099212,23.68042227
8,0.1333333333,12,7.100401,23.68438835
9,0.15,12,7.101759,23.68891815
10,0.1666666667,12,7.103298,23.6940517
11,0.1833333333,12,7.104997,23.69971896
12,0.2,12,7.106905,23.70608336
13,0.2166666667,12,7.108965,23.71295478
14,0.2333333333,12,7.111271,23.72064677
15,0.25,11,6.792707,22.65803164
16,0.2666666667,11,6.788977,22.6455897
17,0.2833333333,11,6.785159,22.63285423
18,0.3,11,6.781489,22.62061242
19,0.3166666667,11,6.778144,22.6094547
20,0.3333333333,11,6.774766,22.59818691
21,0.35,11,6.771658,22.58781974
22,0.3666666667,11,6.768252,22.57645854
23,0.3833333333,11,6.764329,22.56337283
24,0.4,11,6.760783,22.55154464
25,0.4166666667,11,6.757341,22.54006337
26,0.4333333333,11,6.754047,22.52907576
27,0.45,11,6.686094,22.30240896
28,0.4666666667,11,6.682302,22.2897602
29,0.4833333333,11,6.680148,22.28257523
30,0.5,11,6.678119,22.27580722
31,0.5166666667,11,6.676202,22.26941279
32,0.5333333333,11,6.674394,22.26338196
33,0.55,11,6.67258,22.2573311
34,0.5666666667,11,6.671023,22.25213751
35,0.5833333333,11,6.669531,22.24716073
36,0.6,11,6.668165,22.24260425
37,0.6166666667,11,6.666823,22.23812782
38,0.6333333333,11,6.665683,22.23432519
39,0.65,11,6.66465,22.23087947
40,0.6666666667,11,6.66372,22.22777732
41,0.6833333333,11,6.662857,22.22489867
42,0.7,11,6.662156,22.22256038
43,0.7166666667,11,6.661564,22.22058568
44,0.7333333333,11,6.661055,22.21888784
45,0.75,11,6.660686,22.21765699
46,0.7666666667,11,6.660425,22.21678639
