Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
1,0.01666666667,12,7.09639,23.6710091
2,0.35,12,7.102222,23.69046255
3,0.6833333333,11,6.681528,22.28717842
4,1.016666667,11,6.660269,22.21626603
5,1.35,9,6.987949,23.30928885
6,1.683333333,12,7.106191,23.70370171
7,2.016666667,11,6.792893,22.65865207
8,2.35,11,6.6724,22.25673069
9,2.683333333,9,6.939579,23.1479439
10,3.016666667,10,7.097255,23.67389442
11,3.35,12,7.112945,23.72623063
12,3.683333333,11,6.763233,22.55971696
13,4.016666667,11,6.671338,22.25318824
14,4.35,9,7.020984,23.41948175
15,4.683333333,12,7.122477,23.75802596
16,5.016666667,12,7.137519,23.80820067
17,5.35,11,6.690127,22.3158616
18,5.683333333,9,6.96702,23.23947723
19,6.016666667,9,7.117289,23.74072066
20,6.35,12,7.13309,23.79342712
21,6.683333333,11,6.784913,22.63203366
22,7.016666667,11,6.693345,22.32659569
23,7.35,9,7.036283,23.47051372
24,7.683333333,12,7.15236,23.85770492
25,8.016666667,12,7.151564,23.85504975
26,8.35,11,6.715098,22.39915589
27,8.683333333,9,6.985904,23.30246747
28,9.016666667,9,7.12517,23.76700884
29,9.35,12,7.147564,23.84170719
30,9.683333333,11,6.787889,22.64196053
31,10.01666667,10,7.204401,24.03129501
32,10.35,9,7.067782,23.57558308
33,10.68333333,12,7.14203,23.82324775
34,11.01666667,12,7.140263,23.81735367
35,11.35,11,6.697872,22.34169613
36,11.68333333,9,7.021434,23.42098279
37,12.01666667,12,7.15831,23.87755198
38,12.35,12,7.124506,23.76479398
39,12.68333333,11,6.760229,22.5496967
40,13.01666667,11,6.669856,22.24824482
41,13.35,9,7.111715,23.72212779
42,13.68333333,12,7.124016,23.76315951
43,14.01666667,12,7.117221,23.74049383
44,14.35,11,6.69464,22.33091534
45,14.68333333,12,7.232259,24.1242193
46,15.01666667,12,7.143026,23.82657005
47,15.35,12,7.103376,23.69431188
48,15.68333333,11,6.73682,22.47161268
49,16.01666667,11,6.64966,22.18087821
50,16.35,9,7.162705,23.89221212
51,16.68333333,12,7.109167,23.71362858
52,17.01666667,12,7.094448,23.66453128
53,17.35,11,6.701744,22.35461174
54,17.68333333,11,6.636258,22.13617395
55,18.01666667,12,7.129436,23.78123869
