Time (minutes),Latency (smooth)
1.016666667,22.96622902
1.35,22.87579896
1.683333333,22.87910875
2.016666667,22.97197717
2.35,22.98209333
2.683333333,22.94175709
3.016666667,22.93430527
3.35,23.20119991
3.683333333,23.27694648
4.016666667,23.05325756
4.35,22.9896544
4.683333333,22.99760323
5.016666667,23.30972416
5.35,23.3253925
5.683333333,23.28039136
6.016666667,23.27606504
6.35,23.27237165
6.683333333,23.35141466
7.016666667,23.12319428
7.35,23.05564255
7.683333333,23.071712
8.016666667,23.37746602
8.35,23.39560607
8.683333333,23.35359451
9.016666667,23.33092049
9.35,23.32758485
9.683333333,23.38828601
10.01666667,23.57049289
10.35,23.52263645
10.68333333,23.51802159
11.01666667,23.81186988
11.35,23.38947016
11.68333333,23.35082009
12.01666667,23.36439615
12.35,23.35125622
12.68333333,23.40325636
13.01666667,23.11007187
13.35,23.07121582
13.68333333,23.0708072
14.01666667,23.36850649
14.35,23.38917412
14.68333333,23.489697
15.01666667,23.50554963
15.35,23.49400414
15.68333333,23.52917848
16.01666667,23.04334321
16.35,23.05975372
16.68333333,23.0645829
17.01666667,23.36281255
17.35,23.40624593
17.68333333,22.96723639
18.01666667,22.98413891
18.35,22.97672462
18.68333333,23.3016494
19.01666667,23.30314877
19.35,23.34175715
19.68333333,23.35222356
20.01666667,23.33628253
20.35,23.37497763
20.68333333,22.91360428
21.01666667,22.93616239
21.35,22.93472139
21.68333333,23.25616127
22.01666667,23.2581318
22.35,22.83754166
22.68333333,22.84808062
23.01666667,22.83301436
23.35,22.87014422
23.68333333,22.8633712
24.01666667,22.89439099
24.35,22.89724046
24.68333333,23.21456082
25.01666667,23.21743448
25.35,22.79385894
25.68333333,22.81385361
26.01666667,22.80344558
26.35,22.84004006
26.68333333,22.83454626
27.01666667,22.8691602
27.35,22.87766275
27.68333333,23.18978034
28.01666667,23.2111593
28.35,22.7815079
28.68333333,22.8081013
29.01666667,22.80172939
29.35,22.98034879
29.68333333,22.97820898
30.01666667,22.59143057
30.35,22.60212213
30.68333333,22.7500945
31.01666667,22.7728369
31.35,22.76254812
31.68333333,22.79308341
32.01666667,22.79034151
32.35,22.95872133
32.68333333,22.95816678
33.01666667,22.5714826
33.35,22.59372049
33.68333333,22.74750354
34.01666667,22.77321049
34.35,22.76552684
34.68333333,22.80021
35.01666667,22.69294413
35.35,22.96698288
35.68333333,22.96969059
36.01666667,22.57351984
36.35,22.56599297
36.68333333,22.52972872
37.01666667,22.6735332
37.35,22.6678476
37.68333333,22.45093587
38.01666667,22.43186518
38.35,22.58594094
38.68333333,22.5918542
39.01666667,22.58476679
39.35,22.58325074
39.68333333,22.54934479
40.01666667,22.68788146
40.35,22.68731524
40.68333333,22.45548736
41.01666667,22.44344319
41.35,22.60814463
41.68333333,22.61625941
42.01666667,22.61307304
42.35,22.61172794
42.68333333,22.5790495
43.01666667,22.7055195
43.35,22.70654771
43.68333333,22.46530581
44.01666667,22.45058897
44.35,22.62573347
44.68333333,22.64821902
45.01666667,22.64203808
45.35,22.6462043
45.68333333,22.62100353
46.01666667,22.73510997
46.35,22.74359334
46.68333333,22.48732688
47.01666667,22.47574721
47.35,22.65715103
47.68333333,22.6877397
48.01666667,22.68762712
48.35,22.69348117
48.68333333,22.66905177
49.01666667,22.77187373
49.35,22.7794323
49.68333333,22.51137769
50.01666667,22.50542941
50.35,22.69245629
50.68333333,22.7258644
51.01666667,22.72483202
51.35,22.63380155
51.68333333,22.61848012
52.01666667,22.96497232
52.35,22.97772448
52.68333333,22.79478125
53.01666667,22.79076347
53.35,22.75006031
53.68333333,22.85144045
54.01666667,22.85584266
54.35,22.76171087
54.68333333,22.74246172
55.01666667,23.02072256
55.35,23.03240897
55.68333333,22.84125256
56.01666667,22.83876084
56.35,22.80623
56.68333333,22.90246241
57.01666667,22.90571883
57.35,22.8111926
57.68333333,22.79877401
58.01666667,23.07495507
58.35,23.10633929
58.68333333,22.90340056
59.01666667,22.8348965
59.35,22.81640287
59.68333333,22.90511091
60.01666667,22.91577662
60.35,22.87079133
60.68333333,22.86434771
61.01666667,23.13153171
61.35,23.15745632
61.68333333,22.96158915
62.01666667,22.8957461
62.35,22.89638487
62.68333333,23.25389804
63.01666667,23.26378154
63.35,23.21043547
63.68333333,23.17073217
64.01666667,23.16718888
64.35,23.24273031
64.68333333,23.04299296
65.01666667,22.99705368
65.35,23.00336972
65.68333333,23.3067004
66.01666667,23.32600459
66.35,23.27672299
66.68333333,23.23926124
67.01666667,23.2439153
67.35,23.31890968
67.68333333,23.11435567
68.01666667,23.05834442
68.35,23.07180706
68.68333333,23.36387412
69.01666667,23.3852931
69.35,23.35516392
69.68333333,23.30961241
70.01666667,23.29732308
70.35,23.35412904
70.68333333,23.1254425
71.01666667,23.08770556
71.35,23.09170583
71.68333333,23.36369149
72.01666667,23.40853251
72.35,23.54210242
72.68333333,23.5580201
73.01666667,23.54747363
73.35,23.85747059
73.68333333,23.41614945
74.01666667,23.36780183
74.35,23.37403114
74.68333333,23.34858938
75.01666667,23.39770085
75.35,23.030044
75.68333333,23.05160892
76.01666667,23.04398782
76.35,23.34025611
76.68333333,23.3471809
77.01666667,23.38854368
77.35,23.40112906
77.68333333,23.38380541
78.01666667,23.43808712
78.35,22.97909709
78.68333333,23.01279541
79.01666667,23.00962238
79.35,23.30621423
79.68333333,23.31373693
80.01666667,22.88140034
80.35,22.89546257
80.68333333,22.87794628
81.01666667,22.92479619
81.35,22.92351698
81.68333333,22.95571675
82.01666667,22.9557843
82.35,23.25708774
82.68333333,23.26580544
83.01666667,22.83478976
83.35,22.85552244
83.68333333,22.84325895
84.01666667,23.05932259
84.35,23.06242557
84.68333333,22.66309431
85.01666667,22.67004245
85.35,22.7998239
85.68333333,22.83618156
86.01666667,22.83185606
86.35,22.86556855
86.68333333,22.86465459
87.01666667,23.19037576
87.35,23.2159718
87.68333333,22.79695609
88.01666667,22.82289486
88.35,22.81386445
88.68333333,22.99768078
89.01666667,23.00039599
89.35,22.60065695
89.68333333,22.61380772
90.01666667,22.76412087
90.35,22.79835622
90.68333333,22.79219613
91.01666667,22.82368374
91.35,22.82571265
91.68333333,23.15678835
92.01666667,23.1814329
92.35,22.76397827
92.68333333,22.79092275
93.01666667,22.78450664
93.35,22.93920449
93.68333333,22.93752333
94.01666667,22.54665042
94.35,22.55479939
94.68333333,22.73887174
95.01666667,22.76969222
95.35,22.75972867
95.68333333,22.80114315
96.01666667,22.68575916
96.35,22.96925362
96.68333333,22.97525277
97.01666667,22.5608761
97.35,22.54804972
97.68333333,22.51146024
98.01666667,22.66655587
98.35,22.6649064
98.68333333,22.44454562
99.01666667,22.42709772
99.35,22.58608103
99.68333333,22.6057313
