Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
1,0.01666666667,12,7.096362,23.6709157
2,0.03333333333,12,7.09626,23.67057546
3,0.05,12,7.0963,23.67070889
4,0.06666666667,12,7.096564,23.6715895
5,0.08333333333,12,7.097005,23.67306051
6,0.1,12,7.097687,23.67533542
7,0.1166666667,12,7.098549,23.67821074
8,0.1333333333,12,7.099622,23.68178989
9,0.15,12,7.100897,23.68604283
10,0.1666666667,12,7.102371,23.69095956
11,0.1833333333,12,7.104091,23.69669687
12,0.2,12,7.105922,23.70280442
13,0.2166666667,12,7.108082,23.71000941
14,0.2333333333,12,7.110298,23.71740119
15,0.25,11,6.791212,22.65304486
16,0.2666666667,11,6.787176,22.63958221
17,0.2833333333,11,6.7833,22.62665327
18,0.3,11,6.779537,22.61410125
19,0.3166666667,11,6.77582,22.60170268
20,0.3333333333,11,6.772423,22.5903715
21,0.35,11,6.769027,22.57904367
22,0.3666666667,11,6.765849,22.568443
23,0.3833333333,11,6.761924,22.55535061
24,0.4,11,6.75825,22.54309546
25,0.4166666667,11,6.754692,22.53122725
26,0.4333333333,11,6.684328,22.29651821
27,0.45,11,6.682446,22.29024054
28,0.4666666667,11,6.678741,22.27788199
29,0.4833333333,11,6.676461,22.27027673
30,0.5,11,6.674353,22.26324519
31,0.5166666667,11,6.672353,22.25657391
32,0.5333333333,11,6.670522,22.25046635
33,0.55,11,6.668644,22.24420202
34,0.5666666667,11,6.667037,22.23884165
35,0.5833333333,11,6.665481,22.23365139
36,0.6,11,6.664109,22.22907489
37,0.6166666667,11,6.662825,22.22479193
38,0.6333333333,11,6.661664,22.22091925
39,0.65,11,6.660605,22.2173868
40,0.6666666667,11,6.659716,22.21442142
41,0.6833333333,11,6.658898,22.21169286
42,0.7,11,6.65824,22.20949801
43,0.7166666667,11,6.65768,22.20763005
44,0.7333333333,11,6.657254,22.20620907
45,0.75,11,6.656949,22.2051917
46,0.7666666667,11,6.656761,22.2045646
47,0.7833333333,11,6.656699,22.20435779
48,0.8,11,6.656763,22.20457127
49,0.8166666667,11,6.656708,22.20438781
50,0.8333333333,9,6.880057,22.94939988
51,0.85,9,6.885716,22.96827627
52,0.8666666667,9,6.891711,22.98827344
53,0.8833333333,9,6.897628,23.00801043
54,0.9,9,6.903709,23.02829446
55,0.9166666667,9,6.910424,23.05069329
56,0.9333333333,9,6.916958,23.07248837
57,0.95,9,6.923453,23.09415336
58,0.9666666667,9,6.930418,23.1173861
59,0.9833333333,9,6.937449,23.14083899
60,1,9,6.944358,23.16388493
61,1.016666667,9,6.951721,23.18844525
62,1.033333333,9,6.959064,23.21293887
63,1.05,9,6.966742,23.23854992
64,1.066666667,9,6.974332,23.26386743
65,1.083333333,9,6.982101,23.28978203
66,1.1,9,6.990187,23.31675402
67,1.116666667,9,6.998437,23.34427306
68,1.133333333,9,7.006652,23.37167535
69,1.15,9,7.014967,23.3994112
70,1.166666667,10,7.06131,23.55399481
71,1.183333333,10,7.062926,23.55938521
72,1.2,10,7.064582,23.56490903
73,1.216666667,10,7.066544,23.57145356
74,1.233333333,10,7.068583,23.57825493
75,1.25,10,7.070762,23.58552329
76,1.266666667,10,7.073162,23.59352883
77,1.283333333,10,7.075799,23.60232491
78,1.3,10,7.078656,23.61185484
79,1.316666667,10,7.081629,23.6217717
80,1.333333333,10,7.084921,23.63275263
81,1.35,10,7.08834,23.64415719
82,1.366666667,10,7.092043,23.65650906
83,1.383333333,10,7.095956,23.66956143
84,1.4,12,7.097938,23.67617267
85,1.416666667,12,7.097018,23.67310388
