time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
1,-1.119129,-0.1344756,-0.8414803,1.916506E-08,-0.05801051,-0.9220513,1.138252,-0.15936,-1.011799,-1.142507,-0.08970853,0.08101285,1.148222,-0.09072223,-0.09053266,-1.147867,-0.1595475,1.002226,4.084569E-09,-0.0580107,0.9220514,1.140084,-0.1366741,0.8321612
2,-1.049148,-0.1257116,-0.8582525,5.510112E-08,-0.05811821,-0.9237645,1.088676,-0.1540446,-1.030443,-1.100016,-0.0828383,0.0649449,1.126677,-0.08742426,-0.108035,-1.133536,-0.1548943,0.9871184,5.70094E-08,-0.05811774,0.9237648,1.14691,-0.1356625,0.8160766
3,-0.9308738,-0.1108687,-0.8674839,1.66753E-07,-0.05801283,-0.9220887,0.9896677,-0.1417484,-1.042197,-1.007801,-0.06954013,0.05229183,1.054852,-0.0770511,-0.1228615,-1.068834,-0.1431407,0.9712423,3.86797E-08,-0.05801262,0.9220885,1.1034,-0.1271649,0.7984121
4,-0.7796356,-0.09354189,-0.872194,1.417432E-08,-0.05805097,-0.9226945,0.8551517,-0.1257018,-1.050589,-0.8792793,-0.05284197,0.04603856,0.9445987,-0.06205618,-0.1326133,-0.9650567,-0.1274111,0.9635444,-2.89141E-07,-0.05805073,0.9226929,1.019149,-0.1135332,0.7874559
5,-0.6002007,-0.0761848,-0.8691493,-8.452201E-08,-0.05803751,-0.9224735,0.6891665,-0.1081296,-1.051216,-0.7182328,-0.03527648,0.0466667,0.7989249,-0.04474674,-0.1356504,-0.8249376,-0.1098855,0.9617473,-3.914856E-08,-0.05803701,0.9224724,0.8960832,-0.09673247,0.7820543
6,-0.3915112,-0.06084073,-0.8592489,-6.909545E-08,-0.05801639,-0.9221533,0.4907489,-0.09109622,-1.04469,-0.5237306,-0.01886398,0.05425479,0.6170038,-0.02709781,-0.1316219,-0.6476901,-0.09262383,0.9669029,-2.146387E-07,-0.05801697,0.9221515,0.7335289,-0.07870562,0.7835242
7,-0.1699353,-0.05067875,-0.8457893,-5.288057E-07,-0.05809977,-0.9234663,0.2755482,-0.07811799,-1.033983,-0.3111472,-0.006883327,0.06761374,0.4133114,-0.01260251,-0.1213515,-0.4474524,-0.07917856,0.9799511,-3.686526E-07,-0.05810015,0.9234669,0.5445555,-0.063088,0.7931923
8,0.05819063,-0.04686792,-0.8270329,-5.840889E-09,-0.05800838,-0.9220151,0.04929691,-0.07067886,-1.016105,-0.08599101,-0.0009865556,0.08433069,0.1926831,-0.003287845,-0.1059543,-0.2288166,-0.0711054,0.9943643,4.741214E-07,-0.05800837,0.9220143,0.3330308,-0.05186066,0.8058685
9,0.2847559,-0.05026193,-0.8103884,-1.333369E-07,-0.0580746,-0.9230633,-0.1793663,-0.07032412,-0.9993668,0.1429299,-0.002097719,0.102292,-0.03564517,-0.0006167871,-0.08837575,-0.001150551,-0.07004941,1.013358,-1.385487E-07,-0.05807448,0.923064,0.1086374,-0.04704859,0.8240085
10,0.4966531,-0.05994685,-0.7949697,-1.502873E-07,-0.05802406,-0.9222607,-0.3976399,-0.07667688,-0.9820652,0.3629465,-0.009904354,0.1180198,-0.2594607,-0.004920639,-0.0711921,0.2235149,-0.07575247,1.029148,-2.774269E-07,-0.05802403,0.9222612,-0.1171905,-0.04913409,0.8408026
11,0.6972196,-0.07526935,-0.784817,-5.746099E-08,-0.05802252,-0.9222471,-0.6088222,-0.08952221,-0.9689147,0.5773369,-0.02383541,0.1299989,-0.4819665,-0.01601852,-0.05654645,0.4483502,-0.08807193,1.042765,2.423246E-07,-0.05802308,0.9222495,-0.3475101,-0.05830845,0.8567116
12,0.8647253,-0.09289861,-0.7824184,-1.734508E-07,-0.05808208,-0.9231863,-0.790092,-0.1060989,-0.9630775,0.7629541,-0.04087291,0.1355045,-0.6791908,-0.03153539,-0.04777161,0.6491502,-0.1043665,1.051291,-3.338074E-07,-0.05808134,0.9231856,-0.5575774,-0.07263882,0.8682898
13,0.9964364,-0.1102236,-0.7852879,6.830078E-09,-0.05800822,-0.9220092,-0.9387225,-0.1238299,-0.9619572,0.9170777,-0.05861122,0.1336817,-0.8484539,-0.04923424,-0.04557787,0.8232559,-0.12209,1.050543,5.196175E-08,-0.05800808,0.922008,-0.7448047,-0.0898774,0.8715202
14,1.090781,-0.1248826,-0.7967088,3.084637E-09,-0.05809499,-0.9233922,-1.051963,-0.1403416,-0.9703681,1.036558,-0.07436293,0.1255352,-0.9854617,-0.06637895,-0.05050986,0.9659874,-0.1388607,1.045801,5.398597E-08,-0.05809483,0.9233945,-0.9034188,-0.1075591,0.8701431
15,1.139438,-0.1341078,-0.8106132,-1.17885E-07,-0.05801612,-0.9221407,-1.121089,-0.1524886,-0.9817215,1.112551,-0.08546002,0.1116781,-1.08107,-0.080116,-0.06146665,1.068118,-0.1514968,1.032207,4.008001E-09,-0.05801644,0.9221404,-1.024002,-0.1225126,0.8597588
16,1.145343,-0.137053,-0.8287946,-1.937826E-08,-0.05803817,-0.922487,-1.148637,-0.1591392,-0.9989584,1.147452,-0.09060512,0.0943462,-1.137247,-0.08880138,-0.07739632,1.131465,-0.1588042,1.015999,-3.029633E-08,-0.05803791,0.9224887,-1.107923,-0.13314,0.8453833
